record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,measurement_time,x,y,z,heading,qx,qy,qz,qw,vehicle_nearest_lane_id,vehicle_road_id,vehicle_lane_s,vehicle_signed_l,vehicle_distance_m,vehicle_heading_diff
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540821174033,1783598540.821174,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598540.8208003,667,localization,0,0,0,1783598540.8184028,109.73590850830078,-132.998291015625,0.033525142818689346,0.0007243805934846748,-0.00016443392425303594,-0.00016582828731537364,-0.706850608471421,0.707362822578375,road_4_lane_0_-1,4,8.316619271817903,0.42032962815606817,0.42032962815606634,0.001171174275018398
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540922349360,1783598540.9223492,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598540.9220486,668,localization,0,0,0,1783598540.9187262,109.95860290527344,-132.99810791015625,0.033508434891700745,0.0007621975525635705,-0.00017626161337493598,-0.00017768708531553867,-0.7068372303384012,0.7073761850434896,road_4_lane_0_-1,4,8.539313564752556,0.420612232052712,0.4206122320527155,0.0012089912340972936
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541021825238,1783598541.0218253,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.0216074,669,localization,0,0,0,1783598541.0186172,110.1934814453125,-132.9978485107422,0.033490389585494995,0.0008000144310118529,-0.00018928434488224005,-0.00019062681322867394,-0.70682385146414,0.7073895467380434,road_4_lane_0_-1,4,8.774191965449837,0.420976573685009,0.4209765736850215,0.001246808112545576
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541121888410,1783598541.1218884,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.1215997,670,localization,0,0,0,1783598541.1187027,110.44103240966797,-132.99757385253906,0.0334746353328228,0.0008388966793413388,-0.00020037390751535011,-0.0002017064622097576,-0.706810095824773,0.7074032849831668,road_4_lane_0_-1,4,9.021742782381118,0.42136183606377203,0.4213618360637774,0.0012856903609034837
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541221937373,1783598541.2219374,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.2216742,671,localization,0,0,0,1783598541.2184472,110.7018051147461,-132.99729919433594,0.033460214734077454,0.0008783113347621274,-0.0002106383306475161,-0.00021200968781011833,-0.7067961516735756,0.7074172111723108,road_4_lane_0_-1,4,9.282515338715376,0.4217530058325591,0.42175300583255926,0.0013251050163242723
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541322461285,1783598541.3224611,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.3222196,672,localization,0,0,0,1783598541.3191264,110.97647094726562,-132.9970245361328,0.033445604145526886,0.0009182587698557398,-0.00022097794090042845,-0.00022240626118338812,-0.7067820186226763,0.7074313251870171,road_4_lane_0_-1,4,9.557181021104334,0.4221503829626977,0.42215038296270163,0.0013650524514178847
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541421880511,1783598541.4218805,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.421577,673,localization,0,0,0,1783598541.4186049,111.26546478271484,-132.9967498779297,0.033432941883802414,0.0009454221832321252,-0.00023045001875313654,-0.0002308049588379987,-0.7067724074067921,0.7074409217385343,road_4_lane_0_-1,4,9.846174704992869,0.4225541617538016,0.42255416175381194,0.00139221586479427
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541521689565,1783598541.5216897,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.5213003,674,localization,0,0,0,1783598541.5183773,111.56905364990234,-132.99642944335938,0.0334232896566391,0.0009747176063825691,-0.00023704077643562553,-0.0002379537645900479,-0.7067620427595489,0.7074512718937084,road_4_lane_0_-1,4,10.149763398710343,0.4230102378752656,0.42301023787525444,0.0014215112879162922
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541622153157,1783598541.6221533,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.6218672,675,localization,0,0,0,1783598541.6185322,111.88692474365234,-132.9960479736328,0.03342233598232269,0.0010061428759140512,-0.0002375577732029223,-0.00023878532395966358,-0.7067509265740133,0.7074623766212922,road_4_lane_0_-1,4,10.46763429029464,0.42353373035525727,0.4235337303552656,0.0014529365574477743
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541721627775,1783598541.7216277,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.7211564,676,localization,0,0,0,1783598541.7184472,112.2176742553711,-132.99566650390625,0.033435460180044174,0.0010343722053649529,-0.00022831532397380057,-0.00022931468509429113,-0.7067409439544702,0.7074723552374552,road_4_lane_0_-1,4,10.798383598562266,0.42406297683083405,0.42406297683082045,0.001481165886898676
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541821782274,1783598541.8217824,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.821406,677,localization,0,0,0,1783598541.818326,112.55953216552734,-132.9952850341797,0.03346456587314606,0.001035968279348598,-0.0002088511802060011,-0.0002075603636018356,-0.7067403853850184,0.7074729259595139,road_4_lane_0_-1,4,11.140241304158634,0.4245971864684795,0.4245971864684857,0.0014827619608823147
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541921617761,1783598541.9216177,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.9211984,678,localization,0,0,0,1783598541.918539,112.91020202636719,-132.99488830566406,0.033498551696538925,0.0010450241859762954,-0.00018389159018500643,-0.00018421884085609394,-0.7067371889082946,0.7074761325029298,road_4_lane_0_-1,4,11.490910952741526,0.42515059201742095,0.4251505920174126,0.001491817867510012
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598542021680483,1783598542.0216804,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598542.0214539,679,localization,0,0,0,1783598542.0186584,113.27137756347656,-132.9945068359375,0.03350408375263214,0.0010487523708411217,-0.00018022954212580284,-0.0001800418320954826,-0.7067358710494445,0.7074774510005487,road_4_lane_0_-1,4,11.852086283362885,0.4256934326484441,0.4256934326484503,0.0014955460523748383
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598542122491439,1783598542.1224914,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598542.1222117,680,localization,0,0,0,1783598542.1192424,113.64398956298828,-132.99411010742188,0.033497028052806854,0.0010349029592910952,-0.0001857246538295125,-0.00018440966931251905,-0.7067407686833099,0.7074725559202639,road_4_lane_0_-1,4,12.224698068427555,0.4262566418059773,0.42625664180596673,0.0014816966408248184
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598542221797063,1783598542.2217972,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598542.2215073,681,localization,0,0,0,1783598542.218345,114.02841186523438,-132.99371337890625,0.03348924592137337,0.0010253162499980206,-0.00019099350297872836,-0.00019043579028838527,-0.7067441584380497,0.7074691666563175,road_4_lane_0_-1,4,12.609120155047789,0.4268251277319737,0.42682512773196046,0.0014721099315317438
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598542322166317,1783598542.3221662,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598542.3217762,682,localization,0,0,0,1783598542.318808,114.42459106445312,-132.99331665039062,0.03348497301340103,0.0010183922490138997,-0.00019375452813894369,-0.0001935751271063611,-0.706746606941054,0.7074667190512643,road_4_lane_0_-1,4,13.005299137467183,0.42739886656507714,0.4273988665650682,0.0014651859305760445
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598542421718888,1783598542.4217188,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598542.4213667,683,localization,0,0,0,1783598542.418509,114.83236694335938,-132.992919921875,0.033483102917671204,0.001009337629249707,-0.0001951455404811342,-0.0001949657897133261,-0.7067498094724066,0.7074635190009984,road_4_lane_0_-1,4,13.413074798416599,0.4279777867212309,0.42797778672122855,0.0014561313108118518
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598542521545159,1783598542.5215452,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598542.5213184,684,localization,0,0,0,1783598542.518449,115.25210571289062,-132.99252319335938,0.033479366451501846,0.0009986849159338007,-0.00019775838226700288,-0.00019757916330097726,-0.7067535769394171,0.7074597538640881,road_4_lane_0_-1,4,13.832813348796972,0.4285620518211512,0.4285620518211411,0.0014454785974959456
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598542621875213,1783598542.6218753,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598542.6214817,685,localization,0,0,0,1783598542.6183357,115.68394470214844,-132.99212646484375,0.033475589007139206,0.0009843034752381463,-0.0002006021470317751,-0.0002000460712526307,-0.7067586632653541,0.7074546710848107,road_4_lane_0_-1,4,14.264652117696167,0.42915172322260353,0.42915172322259304,0.0014310971567718695
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598542721681228,1783598542.721681,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598542.7213717,686,localization,0,0,0,1783598542.718217,116.12789154052734,-132.99172973632812,0.03347330167889595,0.0009661938006439996,-0.0002024353159931377,-0.00020150057272297136,-0.7067650686011483,0.7074482710578042,road_4_lane_0_-1,4,14.708598734507932,0.4297468043343554,0.42974680433434237,0.0014129874821777228
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598542821268103,1783598542.8212683,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598542.8208368,687,localization,0,0,0,1783598542.8182967,116.58377838134766,-132.99131774902344,0.03347436711192131,0.0009395618900480684,-0.00020186810017703842,-0.0002005506376614655,-0.706774489051045,0.7074388600121894,road_4_lane_0_-1,4,15.164485345751814,0.43036247895111757,0.4303624789511141,0.0013863555715817916
