"frame_index","normal_count","cruise_mlp_call_count","cruise_mlp_inference_call_count","execution_ms","thread_pool_run_ms","obstacle_ids","prediction_enter_ns","prediction_exit_ns","sched_window_start_s","sched_window_end_s","perf_window_complete"
"833","9","9","22","149.277056","131.418976","26;27;28;29;64;65;66;68;69","968500991094368","968501140371424","968501.4002586321","968501.7495356881","True"
"834","9","9","22","128.754432","117.336704","26;27;28;29;64;65;66;68;69","968501143653280","968501272407712","968501.5528175441","968501.881571976","True"
"835","9","9","22","135.72672","119.794944","26;27;28;29;64;65;66;68;69","968501272467328","968501408194048","968501.6816315921","968502.017358312","True"
"836","9","9","22","141.074752","127.768864","26;27;28;29;64;65;66;68;69","968501409174688","968501550249440","968501.8183389521","968502.1594137041","True"
"837","9","9","22","139.03216","126.615616","26;27;28;29;64;65;66;68;69","968501550938464","968501689970624","968501.9601027281","968502.2991348881","True"
"838","9","9","22","151.692448","140.017408","26;27;28;29;64;65;66;68;69","968501692083424","968501843775872","968502.101247688","968502.4529401361","True"
"839","9","9","22","147.245408","133.836928","26;27;28;29;64;65;66;68;69","968501843845952","968501991091360","968502.253010216","968502.600255624","True"
"840","9","9","22","141.19088","126.992928","26;27;28;29;64;65;66;68;69","968502001711232","968502142902112","968502.4108754961","968502.752066376","True"
"841","9","9","22","137.441984","116.232352","26;27;28;29;64;65;66;68;69","968502150084608","968502287526592","968502.5592488721","968502.8966908561","True"
"842","9","9","22","137.647552","112.282144","26;27;28;29;64;65;66;68;69","968502287595680","968502425243232","968502.6967599441","968503.0344074961","True"
