frame,host_tid,infer_ms,stack_sample_count,resolved_sample_count,unknown_sample_count,unknown_ratio,top1_symbol,top1_dso,top1_samples,top1_ratio,top2_symbol,top2_dso,top2_samples,top2_ratio,top3_symbol,top3_dso,top3_samples,top3_ratio,frame_role,data_status,quality_flag
611,1016506,276.265969,25,23,2,0.080000000,__pi_clear_page,[kernel.kallsyms],6,0.240000000,get_page_from_freelist,[kernel.kallsyms],5,0.200000000,skip_ftrace_call,[kernel.kallsyms],4,0.160000000,anomaly,OK,none
612,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
613,1016506,275.959886,25,23,2,0.080000000,get_page_from_freelist,[kernel.kallsyms],6,0.240000000,__pi_clear_page,[kernel.kallsyms],4,0.160000000,__pi___clean_dcache_area_poc,/lib/modules/5.10.120-tegra/kernel/drivers/video/tegra/nvmap/nvmap.ko,3,0.120000000,anomaly,OK,none
614,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
615,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
616,1016506,304.835570,28,25,3,0.107142857,__pi_clear_page,[kernel.kallsyms],7,0.250000000,get_page_from_freelist,[kernel.kallsyms],5,0.178571429,[unknown],/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,2,0.071428571,anomaly,OK,none
617,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
618,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
619,1016506,326.513405,28,23,5,0.178571429,__pi_clear_page,[kernel.kallsyms],7,0.250000000,[unknown],/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,4,0.142857143,__pi___clean_dcache_area_poc,/lib/modules/5.10.120-tegra/kernel/drivers/video/tegra/nvmap/nvmap.ko,4,0.142857143,anomaly,OK,none
620,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
621,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
622,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
623,1016506,317.930963,29,23,6,0.206896552,__pi_clear_page,[kernel.kallsyms],6,0.206896552,__pi___clean_dcache_area_poc,/lib/modules/5.10.120-tegra/kernel/drivers/video/tegra/nvmap/nvmap.ko,5,0.172413793,[unknown],/lib/modules/5.10.120-tegra/kernel/drivers/gpu/nvgpu/nvgpu.ko,4,0.137931034,anomaly,OK,none
624,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
625,,,,,,,,,,,,,,,,,,,anomaly,NO_MAPPED_INFER_INSTANCE,explicit_unavailable_no_guess
