timestamp,cpu,event,prev_tid,prev_comm,prev_state,next_tid,next_comm,target_tid,waker_tid,orig_cpu,dest_cpu,selection_reason,raw_event
75654.967367,10,sched_switch,136,kswapd0,S,0,swapper/10,,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.967367:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
75654.967378,0,sched_waking,,,,136,kswapd0,,1015899,,,wake_of_anomaly_target_or_kswapd0,  dreamview_plus 1015899 [000] 75654.967378:       sched:sched_waking: comm=kswapd0 pid=136 prio=120 target_cpu=010
75654.967384,10,sched_switch,0,swapper/10,R,136,kswapd0,,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [010] 75654.967384:       sched:sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.967669,10,sched_switch,136,kswapd0,S,0,swapper/10,,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.967669:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
75654.967693,2,sched_waking,,,,136,kswapd0,,1016506,,,wake_of_anomaly_target_or_kswapd0,       mainboard 1016506 [002] 75654.967693:       sched:sched_waking: comm=kswapd0 pid=136 prio=120 target_cpu=010
75654.967696,10,sched_switch,0,swapper/10,R,136,kswapd0,,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [010] 75654.967696:       sched:sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.967958,10,sched_switch,136,kswapd0,R+,571684,kworker/10:2,1016506,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.967958:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=R+ ==> next_comm=kworker/10:2 next_pid=571684 next_prio=120
75654.967961,10,sched_switch,571684,kworker/10:2,I,136,kswapd0,1016506,,,,switch_involving_anomaly_target_or_kswapd0, kworker/10:2-mm 571684 [010] 75654.967961:       sched:sched_switch: prev_comm=kworker/10:2 prev_pid=571684 prev_prio=120 prev_state=I ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.967965,10,sched_switch,136,kswapd0,S,0,swapper/10,,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.967965:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
75654.967972,0,sched_waking,,,,136,kswapd0,,1017016,,,wake_of_anomaly_target_or_kswapd0,   dds.udp.27447 1017016 [000] 75654.967972:       sched:sched_waking: comm=kswapd0 pid=136 prio=120 target_cpu=010
75654.967978,10,sched_switch,0,swapper/10,R,136,kswapd0,,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [010] 75654.967978:       sched:sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.968237,10,sched_switch,136,kswapd0,S,0,swapper/10,,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.968237:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
75654.968273,2,sched_waking,,,,136,kswapd0,,1016506,,,wake_of_anomaly_target_or_kswapd0,       mainboard 1016506 [002] 75654.968273:       sched:sched_waking: comm=kswapd0 pid=136 prio=120 target_cpu=010
75654.968277,10,sched_switch,0,swapper/10,R,136,kswapd0,,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [010] 75654.968277:       sched:sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.968521,10,sched_switch,136,kswapd0,S,0,swapper/10,,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.968521:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
75654.968548,2,sched_waking,,,,136,kswapd0,,1016506,,,wake_of_anomaly_target_or_kswapd0,       mainboard 1016506 [002] 75654.968548:       sched:sched_waking: comm=kswapd0 pid=136 prio=120 target_cpu=010
75654.968552,10,sched_switch,0,swapper/10,R,136,kswapd0,,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [010] 75654.968552:       sched:sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.968821,0,sched_waking,,,,136,kswapd0,,1017016,,,wake_of_anomaly_target_or_kswapd0,   dds.udp.27447 1017016 [000] 75654.968821:       sched:sched_waking: comm=kswapd0 pid=136 prio=120 target_cpu=010
75654.968822,10,sched_switch,136,kswapd0,S,0,swapper/10,,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.968822:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
75654.968826,10,sched_switch,0,swapper/10,R,136,kswapd0,,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [010] 75654.968826:       sched:sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.969141,10,sched_switch,136,kswapd0,R+,571684,kworker/10:2,1016506,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.969141:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=R+ ==> next_comm=kworker/10:2 next_pid=571684 next_prio=120
75654.969144,10,sched_switch,571684,kworker/10:2,I,136,kswapd0,1016506,,,,switch_involving_anomaly_target_or_kswapd0, kworker/10:2-mm 571684 [010] 75654.969144:       sched:sched_switch: prev_comm=kworker/10:2 prev_pid=571684 prev_prio=120 prev_state=I ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.969148,10,sched_switch,136,kswapd0,S,0,swapper/10,,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.969148:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
75654.969187,0,sched_waking,,,,136,kswapd0,,1017016,,,wake_of_anomaly_target_or_kswapd0,   dds.udp.27447 1017016 [000] 75654.969187:       sched:sched_waking: comm=kswapd0 pid=136 prio=120 target_cpu=010
75654.969189,0,sched_migrate_task,136,kswapd0,,,,,,10,11,migration_of_anomaly_target_or_kswapd0,   dds.udp.27447 1017016 [000] 75654.969189: sched:sched_migrate_task: comm=kswapd0 pid=136 prio=120 orig_cpu=10 dest_cpu=11
75654.969197,11,sched_switch,0,swapper/11,R,136,kswapd0,,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [011] 75654.969197:       sched:sched_switch: prev_comm=swapper/11 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.969384,11,sched_switch,136,kswapd0,R+,1018398,perf,1016510,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [011] 75654.969384:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=R+ ==> next_comm=perf next_pid=1018398 next_prio=120
75654.970678,10,sched_migrate_task,136,kswapd0,,,,,,11,10,migration_of_anomaly_target_or_kswapd0,         swapper     0 [010] 75654.970678: sched:sched_migrate_task: comm=kswapd0 pid=136 prio=120 orig_cpu=11 dest_cpu=10
75654.970682,10,sched_switch,0,swapper/10,R,136,kswapd0,,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [010] 75654.970682:       sched:sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=136 next_prio=120
75654.970884,10,sched_switch,136,kswapd0,S,0,swapper/10,,,,,switch_involving_anomaly_target_or_kswapd0,         kswapd0   136 [010] 75654.970884:       sched:sched_switch: prev_comm=kswapd0 prev_pid=136 prev_prio=120 prev_state=S ==> next_comm=swapper/10 next_pid=0 next_prio=120
75654.970973,0,sched_waking,,,,136,kswapd0,,1019705,,,wake_of_anomaly_target_or_kswapd0,   dds.udp.27457 1019705 [000] 75654.970973:       sched:sched_waking: comm=kswapd0 pid=136 prio=120 target_cpu=010
75654.970979,10,sched_switch,0,swapper/10,R,136,kswapd0,,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [010] 75654.970979:       sched:sched_switch: prev_comm=swapper/10 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=kswapd0 next_pid=136 next_prio=120
