frame,infer_enter_monotonic_ns,infer_exit_monotonic_ns,infer_ms,logged_tid,logged_tid_namespace,host_tid,tid_mapping_evidence
643,75657015055273,75657101758231,86.702958,1016507,container_tid=host_tid (single-level NSpid identity),1016507,validated: before/after /proc task status Pid=NSpid=1016507 and Host ps LWP=1016507
644,75657113734891,75657199640527,85.905636,1016507,container_tid=host_tid (single-level NSpid identity),1016507,validated: before/after /proc task status Pid=NSpid=1016507 and Host ps LWP=1016507
645,75657212058984,75657298331889,86.272905,1016507,container_tid=host_tid (single-level NSpid identity),1016507,validated: before/after /proc task status Pid=NSpid=1016507 and Host ps LWP=1016507
646,75657308071753,75657393578184,85.506431,1016507,container_tid=host_tid (single-level NSpid identity),1016507,validated: before/after /proc task status Pid=NSpid=1016507 and Host ps LWP=1016507
647,75657405492251,75657491803588,86.311337,1016510,container_tid=host_tid (single-level NSpid identity),1016510,validated: before/after /proc task status Pid=NSpid=1016510 and Host ps LWP=1016510
648,75657501641822,75657587536930,85.895108,1016510,container_tid=host_tid (single-level NSpid identity),1016510,validated: before/after /proc task status Pid=NSpid=1016510 and Host ps LWP=1016510
649,75657598400232,75657686397574,87.997342,1016510,container_tid=host_tid (single-level NSpid identity),1016510,validated: before/after /proc task status Pid=NSpid=1016510 and Host ps LWP=1016510
650,75657696602627,75657782189124,85.586497,1016510,container_tid=host_tid (single-level NSpid identity),1016510,validated: before/after /proc task status Pid=NSpid=1016510 and Host ps LWP=1016510
651,75657794031894,75657880284542,86.252648,1016501,container_tid=host_tid (single-level NSpid identity),1016501,validated: before/after /proc task status Pid=NSpid=1016501 and Host ps LWP=1016501
652,75657897051405,75657981996389,84.944984,1016508,container_tid=host_tid (single-level NSpid identity),1016508,validated: before/after /proc task status Pid=NSpid=1016508 and Host ps LWP=1016508
653,75657997647174,75658082233850,84.586676,1016512,container_tid=host_tid (single-level NSpid identity),1016512,validated: before/after /proc task status Pid=NSpid=1016512 and Host ps LWP=1016512
654,75658097417909,75658184273989,86.856080,1016506,container_tid=host_tid (single-level NSpid identity),1016506,validated: before/after /proc task status Pid=NSpid=1016506 and Host ps LWP=1016506
655,75658199185693,75658284141238,84.955545,1016505,container_tid=host_tid (single-level NSpid identity),1016505,validated: before/after /proc task status Pid=NSpid=1016505 and Host ps LWP=1016505
656,75658298965004,75658390848122,91.883118,1016500,container_tid=host_tid (single-level NSpid identity),1016500,validated: before/after /proc task status Pid=NSpid=1016500 and Host ps LWP=1016500
657,75658410362411,75658495250627,84.888216,1016506,container_tid=host_tid (single-level NSpid identity),1016506,validated: before/after /proc task status Pid=NSpid=1016506 and Host ps LWP=1016506
658,75658505213438,75658590606811,85.393373,1016506,container_tid=host_tid (single-level NSpid identity),1016506,validated: before/after /proc task status Pid=NSpid=1016506 and Host ps LWP=1016506
659,75658600784953,75658685861811,85.076858,1016506,container_tid=host_tid (single-level NSpid identity),1016506,validated: before/after /proc task status Pid=NSpid=1016506 and Host ps LWP=1016506
