"frame_index","input_seq","callback_tid","execution_ms","callback_running_ms","callback_blocked_ms","callback_runnable_ms","unknown_ms","stack_samples_all_frame_tids","stack_samples_callback","sched_context_events"
"926","1562","1645396","129.124544","10.2295441320166","118.09399991761893","0.8009999291971326","0.0","9","1","1430"
"927","1563","1645394","130.331712","9.796711849048734","115.64099998213351","4.894000245258212","0.0","10","1","1747"
"928","1564","1645390","120.101984","10.892984108068049","108.90199989080429","0.30700000934302807","0.0","8","1","1547"
"929","1565","1645390","129.3352","10.128199704922736","116.84200016316026","2.3650001967325807","0.0","5","1","1513"
"930","1566","1645394","38.2288","9.870799607597291","27.817999944090843","0.5400005029514432","0.0","9","1","1647"
"932","1568","1645383","124.827232","9.954232256859541","114.0109997941181","0.8619999280199409","0.0","7","0","1476"
"933","1569","1645398","131.006688","11.125687859021127","118.99800004903227","0.8830000879243016","0.0","6","0","1488"
"934","1570","1645398","131.074944","10.346944211050868","110.47100007999688","10.256999637931585","0.0","8","1","1571"
"935","1571","1645398","127.159488","9.96148749254644","116.7130001122132","0.4850003169849515","0.0","7","0","1696"
"936","1572","1645394","57.957728","11.006728396750987","45.68099963944405","1.2700000079348683","0.0","11","1","1885"
"937","1573","1645389","38.675424","10.236423811875284","26.89399989321828","1.5450003556907177","0.0","8","1","1303"
"938","1574","1645396","36.49168","9.798680315725505","25.013999897055328","1.6789997462183237","0.0","6","1","1162"
"939","1575","1645391","51.253888","11.213887948542833","39.234999916516244","0.8050001924857497","0.0","8","1","1794"
"940","1576","1645393","41.041408","10.631407960318029","28.45400001388043","1.955999992787838","0.0","8","1","1257"
"941","1577","1645390","50.677504","13.197503751143813","31.356999999843538","6.123000173829496","0.0","10","1","1569"
"942","1578","1645387","76.6336","10.946600115858018","65.13900007121265","0.5479998653754592","0.0","5","0","1786"
