episode_id,worker_tid,start_sched_s,end_sched_s,duration_ms,start_type,cpu_before,cpu_after,assigned_cpu_route,migrated,competing_threads,competing_runtime_ms,idle_runtime_ms,irq_runtime_ms,dominant_competitor,dominant_competitor_runtime_ms,worker_priority,competitor_priority,occupancy_coverage_ms,occupancy_coverage_ratio
1,1646959,968509.383551000,968509.388213000,4.662000,wakeup,3,0,968509.383551-968509.383558:CPU3;968509.383558-968509.388213:CPU0,1,"dds.udp.27457[1648118,prio=120]:2.286000ms;ksoftirqd/0[12,prio=120]:0.791000ms;dreamview_plus[1644789,prio=120]:0.336000ms;mainboard[1645479,prio=120]:0.330000ms;mainboard[1645550,prio=120]:0.324000ms;mainboard[1646161,prio=120]:0.320000ms;MainThread[1560836,prio=120]:0.081000ms;dreamview_plus[1644689,prio=120]:0.049000ms;mainboard[1645330,prio=120]:0.046000ms;mainboard[1646949,prio=120]:0.007000ms;kworker/0:1H[1253664,prio=100]:0.006000ms",4.576000,0.086000,0.000000,dds.udp.27457[1648118],2.286000,120,120,4.662000,1.000000000
2,1646959,968509.388319000,968509.412974000,24.655000,preempted,0,8,968509.388319-968509.412062:CPU0;968509.412062-968509.412974:CPU8,1,"dds.udp.27457[1648118,prio=120]:7.940000ms;dds.udp.27417[1644778,prio=120]:4.900000ms;mainboard[1645550,prio=120]:2.737000ms;ksoftirqd/0[12,prio=120]:2.666000ms;mainboard[1645479,prio=120]:2.263000ms;mainboard[1646161,prio=120]:1.273000ms;irq/134-host_sy[174,prio=49]:0.816000ms;MainThread[1560836,prio=120]:0.718000ms;mainboard[1645330,prio=120]:0.620000ms;dreamview_plus[1644689,prio=120]:0.490000ms;kworker/0:1H[1253664,prio=100]:0.199000ms;kworker/8:2[1201876,prio=120]:0.009000ms;cyber_recorder[1648121,prio=120]:0.009000ms",24.640000,0.015000,0.816000,dds.udp.27457[1648118],7.940000,120,120,24.655000,1.000000000
3,1646949,968509.423481000,968509.428063000,4.582000,wakeup,0,3,968509.423481-968509.428057:CPU0;968509.428057-968509.428063:CPU3,1,"mainboard[1646959,prio=120]:3.432000ms;ksoftirqd/0[12,prio=120]:0.832000ms;mainboard[1645382,prio=120]:0.196000ms;MainThread[1560836,prio=120]:0.056000ms;kworker/0:1H[1253664,prio=100]:0.032000ms;cyber_recorder[1648030,prio=120]:0.016000ms;mainboard[1645457,prio=120]:0.012000ms",4.576000,0.006000,0.000000,mainboard[1646959],3.432000,120,120,4.582000,1.000000000
4,1646959,968509.434435000,968509.438823000,4.388000,preempted,0,0,968509.434435-968509.438823:CPU0,0,"dds.udp.27417[1644778,prio=120]:3.035000ms;ksoftirqd/0[12,prio=120]:0.952000ms;mainboard[1645382,prio=120]:0.245000ms;dds.ev.1[1644774,prio=120]:0.039000ms;irq/120-d230000[251,prio=49]:0.028000ms;irq/134-host_sy[174,prio=49]:0.027000ms;MainThread[1560836,prio=120]:0.027000ms;mainboard[1645457,prio=120]:0.018000ms;kworker/0:1H[1253664,prio=100]:0.017000ms",4.388000,0.000000,0.055000,dds.udp.27417[1644778],3.035000,120,120,4.388000,1.000000000
5,1646953,968509.435339000,968509.437808000,2.469000,preempted,3,3,968509.435339-968509.437808:CPU3,0,"mainboard[1646942,prio=120]:1.330000ms;mainboard[1646949,prio=120]:0.999000ms;mainboard[1645426,prio=120]:0.057000ms;mainboard[1645420,prio=120]:0.041000ms;mainboard[1644485,prio=120]:0.030000ms;mainboard[1645400,prio=120]:0.012000ms",2.469000,0.000000,0.000000,mainboard[1646942],1.330000,120,120,2.469000,1.000000000
6,1646949,968509.536260000,968509.538531000,2.271000,preempted,3,3,968509.536260-968509.538531:CPU3,0,"mainboard[1646942,prio=120]:2.037000ms;dds.udp.27447[1646159,prio=120]:0.113000ms;mainboard[1645460,prio=120]:0.039000ms;MainThread[1560836,prio=120]:0.030000ms;mainboard[1645450,prio=120]:0.022000ms;mainboard[1645426,prio=120]:0.015000ms;mainboard[1645456,prio=120]:0.008000ms;mainboard[1645453,prio=120]:0.007000ms",2.271000,0.000000,0.000000,mainboard[1646942],2.037000,120,120,2.271000,1.000000000
7,1646949,968509.546242000,968509.556313000,10.071000,preempted,0,1,968509.546242-968509.556033:CPU0;968509.556033-968509.556313:CPU1,1,"dds.udp.27457[1648118,prio=120]:6.131000ms;ksoftirqd/0[12,prio=120]:1.413000ms;irq/134-host_sy[174,prio=49]:1.007000ms;dds.udp.27447[1646159,prio=120]:0.658000ms;dds.udp.27417[1644778,prio=120]:0.297000ms;mainboard[1644496,prio=120]:0.251000ms;sshd[1559753,prio=120]:0.131000ms;kworker/0:1H[1253664,prio=100]:0.113000ms;mainboard[1644501,prio=120]:0.020000ms;mainboard[1646161,prio=120]:0.020000ms;cyber_recorder[1648030,prio=120]:0.019000ms",10.060000,0.011000,1.007000,dds.udp.27457[1648118],6.131000,120,120,10.071000,1.000000000
