run_id,fault_type,injection_location,requested_magnitude,actual_magnitude,actual_distribution,fault_onset_wall,fault_end_wall,t1_wall,trigger_relative_t1_s,duration,persistent_or_transient,one_shot_or_repeated,affected_channel,affected_message_count,queue_behavior,drop_status,reorder_status,evidence_class,confidence
202607271031,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,0.0,19.282224,PER_RUN_ACTUAL_WALL_DELAY,1785119525.4845674,,1785119531.831306,-6.346738576889038,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271048,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,0.0,0.08511,PER_RUN_ACTUAL_WALL_DELAY,1785120517.7492702,,1785120539.235663,-21.486392736434937,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271054,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,0.0,0.069502,PER_RUN_ACTUAL_WALL_DELAY,1785120875.129856,,1785120896.447725,-21.317868947982788,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271059,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,0.0,0.067998,PER_RUN_ACTUAL_WALL_DELAY,1785121203.9878867,,1785121209.519968,-5.532081365585327,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271104,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,0.0,0.067633,PER_RUN_ACTUAL_WALL_DELAY,1785121461.767788,,1785121482.765552,-20.997764110565186,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271108,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,0.0,0.091174,PER_RUN_ACTUAL_WALL_DELAY,1785121734.2969038,,1785121755.992713,-21.69580912590027,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271113,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,0.0,0.067197,PER_RUN_ACTUAL_WALL_DELAY,1785122009.1921613,,1785122030.296692,-21.104530572891235,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271131,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,300.0,300.046735,PER_RUN_ACTUAL_WALL_DELAY,1785123095.9483583,,1785123121.945625,-25.99726676940918,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271202,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,300.0,300.317662,PER_RUN_ACTUAL_WALL_DELAY,1785124928.5958872,,1785124951.594938,-22.999050855636597,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271206,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,300.0,300.072552,PER_RUN_ACTUAL_WALL_DELAY,1785125204.107671,,1785125227.718962,-23.61129093170166,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271211,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,300.0,300.147747,PER_RUN_ACTUAL_WALL_DELAY,1785125486.9596124,,1785125509.980791,-23.021178722381592,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
202607271643,ADDED_CONTROL_CHANNEL_DELAY,Bridge/SCB control path,300.0,300.099534,PER_RUN_ACTUAL_WALL_DELAY,1785141826.617723,,1785141848.854508,-22.23678493499756,UNKNOWN_UNTIL_RUN_END,PERSISTENT_SETTING,REPEATED_PER_AFFECTED_MESSAGE,Control,UNKNOWN,ADDED_DELAY,NOT_ESTABLISHED,NOT_ESTABLISHED,DIRECT_OBSERVED,HIGH
