group_name,run_id,t_cause_t1_wall_s,t_perception_output_wall_s,t_prediction_wall_s,t_planning_stop_wall_s,t_control_command_wall_s,t_physical_response_t2_wall_s,t_deadline_data_derived_wall_s,t_deadline_model_predicted_wall_s,t_outcome_wall_s,outcome_endpoint_type_data_observed,time_basis,t1_definition,t2_definition,deadline_definition_data_derived,deadline_definition_model,source_perception_file,source_localization_file,source_collision_file
baseline,202607271031,1785119531.831306,1785119532.039621,1785119532.0434978,1785119532.059676,1785119532.0725834,1785119532.130961,1785119532.4720943,1785119532.8876266,1785119542.631211,MINIMUM_SPEED_PROXY,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/perception.log.INFO.20260727-102810.5491,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453,
baseline,202607271048,1785120539.235663,1785120539.470642,1785120539.4807656,1785120539.497037,1785120539.5194652,1785120539.536021,1785120539.7402866,1785120539.7341845,1785120544.63559,MINIMUM_SPEED_PROXY,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/perception.log.INFO.20260727-104627.122675,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/localization.log.INFO.20260727-104620.122662,
baseline,202607271054,1785120896.447725,1785120896.674937,1785120896.6786864,1785120896.691515,1785120896.709478,1785120896.747702,1785120896.9038167,1785120896.9129722,1785120899.547747,MINIMUM_SPEED_PROXY,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/perception.log.INFO.20260727-105124.176848,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/localization.log.INFO.20260727-105117.176834,
baseline,202607271059,1785121209.519968,1785121209.788597,1785121209.7939126,1785121209.807713,1785121209.8237815,1785121209.919718,1785121210.086525,1785121210.086525,1785121212.619642,MINIMUM_SPEED_PROXY,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/perception.log.INFO.20260727-105743.231975,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/localization.log.INFO.20260727-105737.231932,
baseline,202607271104,1785121482.765552,1785121483.0172,1785121483.0203924,1785121483.02713,1785121483.0371344,1785121483.165198,1785121483.4045992,1785121483.3435864,1785121486.664961,MINIMUM_SPEED_PROXY,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/perception.log.INFO.20260727-110240.286153,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/localization.log.INFO.20260727-110232.286141,
baseline,202607271108,1785121755.992713,1785121756.228711,1785121756.233822,1785121756.241866,1785121756.2575474,1785121756.293354,1785121756.4973686,1785121756.4777966,1785121758.892839,MINIMUM_SPEED_PROXY,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/perception.log.INFO.20260727-110708.340114,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/localization.log.INFO.20260727-110701.340102,
baseline,202607271113,1785122030.296692,1785122030.524438,1785122030.5364223,1785122030.547989,1785122030.5620928,1785122030.596488,1785122030.7951999,1785122030.8072615,1785122033.496604,MINIMUM_SPEED_PROXY,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/perception.log.INFO.20260727-111146.394244,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/localization.log.INFO.20260727-111139.394230,
delay_300ms,202607271131,1785123121.945625,1785123122.23851,1785123122.2425587,1785123122.250615,1785123122.2592244,1785123122.745261,,1785123122.4578953,1785123124.852247,COLLISION,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/carla_collision_events_20260727113204.csv
delay_300ms,202607271202,1785124951.594938,1785124951.858458,1785124951.8624141,1785124951.872802,1785124951.8852878,1785124952.294093,1785124952.3445177,1785124952.29174,1785124955.09381,MINIMUM_SPEED_PROXY,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/perception.log.INFO.20260727-120044.597402,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/localization.log.INFO.20260727-120037.597370,
delay_300ms,202607271206,1785125227.718962,1785125228.027334,1785125228.037522,1785125228.045467,1785125228.0573795,1785125228.519715,1785125228.4392285,1785125228.371159,1785125232.318876,MINIMUM_SPEED_PROXY,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/perception.log.INFO.20260727-120504.657901,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/localization.log.INFO.20260727-120456.657888,
delay_300ms,202607271211,1785125509.980791,1785125510.242578,1785125510.24672,1785125510.258677,1785125510.2733912,1785125510.680958,1785125510.7537804,1785125510.6736927,1785125513.38038,MINIMUM_SPEED_PROXY,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/perception.log.INFO.20260727-120942.719157,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,
delay_300ms,202607271643,1785141848.854508,1785141849.173793,1785141849.1804838,1785141849.189117,1785141849.207122,1785141849.748378,,1785141849.167302,1785141851.3477566,COLLISION,wall_epoch_s,source time of first frame in continuous 3-frame stable Fusion target sequence,end of first interval satisfying sustained-deceleration rule,(D1 - observed full-stop D_brake) / v1; 0 m contact boundary,(D1 - v2^2/(2*a_baseline_median)) / v1; 0 m contact boundary,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/perception.log.INFO.20260727-164129.1218462,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/localization.log.INFO.20260727-164121.1218450,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271643/log/carla_collision_events_20260727164411.csv
