run_id,group_name,included_main_analysis,outcome_data_observed,D1_clear_data_observed_m,D_response_wall_integral_data_observed_m,D_brake_data_observed_m,M0_recomputed_observed_m,M6_recomputed_observed_m,endpoint_compatible_full_stop,decomposition_scope
202607271031,baseline,True,safe_stop,39.89118968607217,4.673487170470926,29.88004233512493,5.337660180476309,-0.6623398195236909,True,FULL_STOP_OBSERVED
202607271048,baseline,True,safe_stop,38.74398321009477,5.25441554093497,30.01877001652626,3.470797652633536,-2.529202347366464,True,FULL_STOP_OBSERVED
202607271054,baseline,True,safe_stop,39.631539419332874,5.3671294775498595,31.52473759610576,2.7396723456772563,-3.2603276543227437,True,FULL_STOP_OBSERVED
202607271059,baseline,True,safe_stop,40.15487249928844,7.005683189973678,30.403186921446377,2.74600238786838,-3.25399761213162,True,FULL_STOP_OBSERVED
202607271104,baseline,True,safe_stop,38.78361695724761,6.935600898780944,27.87996053113957,3.9680555273270954,-2.0319444726729046,True,FULL_STOP_OBSERVED
202607271108,baseline,True,safe_stop,38.75948581368456,5.284453642764105,29.962679853465307,3.51235231745515,-2.48764768254485,True,FULL_STOP_OBSERVED
202607271113,baseline,True,safe_stop,38.81749065847193,5.2312645659572246,30.235574267164203,3.3506518253505035,-2.6493481746494965,True,FULL_STOP_OBSERVED
202607271131,delay_300ms,True,collision,38.258205668761775,13.432027958524642,,,,False,UNAVAILABLE_OUTCOME_TRUNCATED_OR_CONFLICTED
202607271202,delay_300ms,True,safe_stop,39.61649585117989,11.749044628602803,27.31945200879674,0.5479992137803471,-5.452000786219653,True,FULL_STOP_OBSERVED
202607271206,delay_300ms,False,uncertain_geometry_event_conflict,39.789858291702615,13.74109871705313,27.684571965629623,-1.6358123909801385,-7.6358123909801385,False,EXCLUDED_OUTCOME_CONFLICT
202607271211,delay_300ms,True,safe_stop,40.20186447880783,11.999340611264754,27.18452996021411,1.017993907328961,-4.982006092671039,True,FULL_STOP_OBSERVED
202607271643,delay_300ms,True,collision,36.6510692137721,15.450549919780316,,,,False,UNAVAILABLE_OUTCOME_TRUNCATED_OR_CONFLICTED
