comparison_group,n,D1_mean_m,D_response_mean_m,D_brake_mean_m,M0_mean_m
baseline_full_stop,7,39.25459689202747,5.678862069490243,29.986421645853202,3.589313176684033
delay_300ms_safe_stop,2,39.909180164993856,11.87419261993378,27.251990984505426,0.782996560554654
delay_safe_minus_baseline,2 vs 7,0.6545832729663843,6.195330550443536,-2.7344306613477762,-2.806316616129379
