group_name,run_id,sensor_to_fusion_ms,fusion_to_prediction_ms,prediction_to_planning_stop_ms,planning_stop_to_control_ms,control_to_t2_ms,sensor_to_control_ms,T_e2e_data_observed_ms,target_gap_max_ms,target_gap_p90_ms,target_lifecycle_median_ms,target_lifecycle_p90_ms,target_lifecycle_max_ms,target_source_age_at_outcome_ms,target_output_count_response_window,update_gap_target_response_window_max_data_observed_ms,update_gap_target_response_window_p90_data_observed_ms,target_lifecycle_response_window_p90_data_observed_ms,data_age_target_at_t2_data_observed_ms,reaction_time_message_diagnostic_ms,data_age_record_diagnostic_ms,record_profile_available,record_missing_reason,source_perception_file,source_localization_file,time_basis_main
baseline,202607271031,208.3151340484619,3.8765779515380814,16.17823924816895,12.90742475183106,58.377584632324215,241.277376,299.6549606323242,117.22302436828612,112.52484321594238,207.12637901306152,221.1761236190796,228.3918857574463,299.96514320373535,1,,,208.3151340484619,299.6549606323242,,,False,NO_SAME_RUN_PARSED_RECORD_EXPORT,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/perception.log.INFO.20260727-102810.5491,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453,wall_epoch_s
baseline,202607271048,234.97915267944336,10.123447320556636,16.271396734619145,22.42818726538087,16.555873022094715,283.802184,300.3580570220947,112.501859664917,109.1749668121338,236.9518280029297,243.5208320617676,247.55001068115232,2799.8430728912354,1,,,234.97915267944336,300.3580570220947,,,False,NO_SAME_RUN_PARSED_RECORD_EXPORT,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/perception.log.INFO.20260727-104627.122675,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/localization.log.INFO.20260727-104620.122662,wall_epoch_s
baseline,202607271054,227.21195220947263,3.749367790527344,12.8285912701416,17.96292872985839,38.223985714111336,261.75284,299.9768257141113,116.79315567016602,112.93840408325195,235.65912246704104,257.22012519836426,264.96100425720215,500.0169277191162,1,,,227.21195220947266,299.9768257141113,,,False,NO_SAME_RUN_PARSED_RECORD_EXPORT,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/perception.log.INFO.20260727-105124.176848,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/localization.log.INFO.20260727-105117.176834,wall_epoch_s
baseline,202607271059,268.6290740966797,5.315517903320313,13.800406931884766,16.06848906811524,95.9365062779541,303.813488,399.7499942779541,117.523193359375,107.13715553283691,237.7614974975586,265.1468753814697,268.6290740966797,399.7910022735596,2,98.57892990112305,98.57892990112305,268.5114622116089,299.99494552612305,,,False,NO_SAME_RUN_PARSED_RECORD_EXPORT,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/perception.log.INFO.20260727-105743.231975,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/localization.log.INFO.20260727-105737.231932,wall_epoch_s
baseline,202607271104,251.64794921875,3.1923787812499995,6.737516619750977,10.00462738024902,128.06357177746582,271.582472,399.6460437774658,297.60193824768066,137.46571540832528,238.55090141296387,250.7171630859375,257.0221424102783,399.6150493621826,2,97.9609489440918,97.9609489440918,251.44085884094238,299.61419105529785,,,False,NO_SAME_RUN_PARSED_RECORD_EXPORT,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/perception.log.INFO.20260727-110240.286153,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/localization.log.INFO.20260727-110232.286141,wall_epoch_s
baseline,202607271108,235.9979152679443,5.111112732055659,8.044109207031255,15.68136279296874,35.80655987548829,264.8345,300.6410598754883,113.37804794311523,110.20851135253906,258.6015462875366,279.01222705841064,279.8340320587158,300.1070022583008,1,,,235.99791526794434,300.6410598754883,,,False,NO_SAME_RUN_PARSED_RECORD_EXPORT,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/perception.log.INFO.20260727-110708.340114,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/localization.log.INFO.20260727-110701.340102,wall_epoch_s
baseline,202607271113,227.74600982666016,11.984406173339837,11.566581070312507,14.103914929687503,34.39519243115234,265.400912,299.79610443115234,285.7990264892578,115.5277729034424,224.3136167526245,236.19370460510257,242.3698902130127,299.6969223022461,1,,,227.74600982666016,299.79610443115234,,,False,NO_SAME_RUN_PARSED_RECORD_EXPORT,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/perception.log.INFO.20260727-111146.394244,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/localization.log.INFO.20260727-111139.394230,wall_epoch_s
delay_300ms,202607271131,292.88482666015625,4.04891733984374,8.056070758300791,8.609529241699192,486.0365431459961,313.599344,799.6358871459961,507.43889808654785,106.58259391784668,298.7794876098633,344.0122604370123,705.8918476104736,1006.8919658660888,5,108.21318626403809,105.88245391845703,299.97358322143555,400.4209041595459,,,False,NO_SAME_RUN_PARSED_RECORD_EXPORT,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/perception.log.INFO.20260727-112942.476004,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,wall_epoch_s
delay_300ms,202607271202,263.5200023651123,3.956157634887688,10.387819339599616,12.485716660400383,408.8051578208008,290.349696,699.1548538208008,188.02809715270996,115.0308132171631,245.09644508361816,261.5225315093994,263.5200023651123,898.7910747528076,5,99.1971492767334,98.83766174316406,263.1359577178955,299.65686798095703,,,False,NO_SAME_RUN_PARSED_RECORD_EXPORT,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/perception.log.INFO.20260727-120044.597402,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/localization.log.INFO.20260727-120037.597370,wall_epoch_s
delay_300ms,202607271206,308.37202072143555,10.18813127856447,7.944793755004866,11.912518244995113,462.335652607666,338.417464,800.753116607666,112.78891563415527,104.97748851776124,313.30299377441406,320.62745094299316,323.9879608154297,2399.3470668792725,5,105.05509376525879,104.4379711151123,314.23888206481934,400.58112144470215,,,False,NO_SAME_RUN_PARSED_RECORD_EXPORT,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/perception.log.INFO.20260727-120504.657901,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271206/log/localization.log.INFO.20260727-120456.657888,wall_epoch_s
