"frame_index","normal_count","cruise_mlp_call_count","cruise_mlp_inference_call_count","execution_ms","thread_pool_run_ms","obstacle_ids","prediction_enter_ns","prediction_exit_ns","sched_window_start_s","sched_window_end_s","perf_window_complete"
"860","9","9","23","136.621728","123.275072","26;27;28;29;66;69;72;73;74","968504868232480","968505004854208","968505.2773967441","968505.614018472","True"
"861","9","9","23","126.575104","113.788224","26;27;28;29;66;69;72;73;74","968505004922016","968505131497120","968505.4140862802","968505.7406613841","True"
"877","9","9","23","148.407456","132.516192","26;27;28;29;69;72;73;74;77","968507231479136","968507379886592","968507.6406434001","968507.9890508561","True"
"878","9","9","23","148.1936","135.817568","26;27;28;29;69;72;73;74;77","968507379939744","968507528133344","968507.7891040081","968508.1372976081","True"
"879","9","9","23","138.175136","124.900032","26;27;28;29;69;72;73;74;77","968507528197184","968507666372320","968507.9373614481","968508.2755365841","True"
"880","9","9","23","137.103808","121.232576","26;27;28;29;69;72;73;74;77","968507666439712","968507803543520","968508.0756039761","968508.4127077841","True"
"881","9","9","23","138.361088","125.1648","26;27;28;29;69;72;73;74;77","968507803609472","968507941970560","968508.2127737361","968508.551134824","True"
"882","9","9","23","144.717376","131.252512","26;27;28;29;69;72;73;74;77","968507942030208","968508086747584","968508.351194472","968508.6959118481","True"
"883","9","9","23","143.615584","129.257184","26;27;28;29;69;72;73;74;77","968508089690560","968508233306144","968508.4988548241","968508.8424704081","True"
"915","9","9","23","133.79856","118.622144","26;27;28;29;74;77;78;79;80","968512770685504","968512904484064","968513.179849768","968513.513648328","True"
"916","9","9","23","134.431296","122.816608","26;27;28;29;74;77;78;79;80","968512904551424","968513038982720","968513.3137156881","968513.648146984","True"
