source_frame,lidar_timestamp,perception_seq,perception_pub_time,output_interval_ms,perception_data_age_ms,obstacle_ids,target_id,target_x,target_y,target_vx,target_vy,tracking_time
227,1788414550031119777,895,1788414550.245617867,92.152357,214.498043,[],,,,,,
228,1788414550131827880,896,1788414550.342561960,96.944094,210.733891,[],,,,,,
229,1788414550231686781,897,1788414550.439239025,96.677065,207.552433,[],,,,,,
230,1788414550330983579,898,1788414550.543891907,104.652882,212.908268,[],,,,,,
231,1788414550432104250,899,1788414550.640299082,96.407175,208.194971,[],,,,,,
232,1788414550531243461,900,1788414550.746371746,106.072664,215.128183,[],,,,,,
233,1788414550631835935,901,1788414550.845014334,98.642588,213.178396,[],,,,,,
234,1788414550731492310,902,1788414550.944961548,99.947214,213.469267,[],,,,,,
235,1788414550831783125,903,1788414551.050592422,105.630875,218.809366,[],,,,,,
236,1788414550931149736,904,1788414551.148714066,98.121643,217.564344,[],,,,,,
237,1788414551031211600,905,1788414551.241861343,93.147278,210.649729,[],,,,,,
238,1788414551131709363,906,1788414551.350761890,108.900547,219.052553,[],,,,,,
239,1788414551231455982,907,1788414551.441834927,91.073036,210.378885,[],,,,,,
240,1788414551332335853,908,1788414551.542785168,100.950241,210.449219,[],,,,,,
241,1788414551431856618,909,1788414551.650042772,107.257605,218.186140,[],,,,,,
242,1788414551531815860,910,1788414551.754813671,104.770899,222.997665,[],,,,,,
243,1788414551631385082,911,1788414551.862475634,107.661963,231.090546,[],,,,,,
244,1788414551740551817,912,1788414551.952870131,90.394497,212.318182,[],,,,,,
245,1788414551831761033,913,1788414552.044372559,91.502428,212.611437,[],,,,,,
246,1788414551931770927,914,1788414552.142717123,98.344564,210.946321,[],,,,,,
247,1788414552031794893,915,1788414552.237112999,94.395876,205.317974,[],,,,,,
248,1788414552131942676,916,1788414552.344142437,107.029438,212.199688,[],,,,,,
249,1788414552231217230,917,1788414552.434320450,90.178013,203.103304,[],,,,,,
250,1788414552331949449,918,1788414552.542385101,108.064651,210.435629,[],,,,,,
251,1788414552431140889,919,1788414552.651557207,109.172106,220.416307,[],,,,,,
252,1788414552531322606,920,1788414552.741880655,90.323448,210.557938,[],,,,,,
253,1788414552631132631,921,1788414552.833258390,91.377735,202.125788,[],,,,,,
254,1788414552731128070,922,1788414552.948360443,115.102053,217.232466,[],,,,,,
255,1788414552832623779,923,1788414553.038588524,90.228081,205.964565,[],,,,,,
256,1788414552932136339,924,1788414553.145655870,107.067347,213.519335,[],,,,,,
257,1788414553032767216,925,1788414553.236634254,90.978384,203.866959,[],,,,,,
258,1788414553131666411,926,1788414553.334417343,97.783089,202.750921,[],,,,,,
259,1788414553231368688,927,1788414553.432473898,98.056555,201.105118,[],,,,,,
260,1788414553332197950,928,1788414553.534742594,102.268696,202.544689,[],,,,,,
261,1788414553431773371,929,1788414553.644569635,109.827042,212.796211,[],,,,,,
262,1788414553531113018,930,1788414553.747318506,102.748871,216.205597,[],,,,,,
263,1788414553631233321,931,1788414553.849695444,102.376938,218.462229,[],,,,,,
264,1788414553731710473,932,1788414553.944893360,95.197916,213.182926,[],,,,,,
265,1788414553831471853,933,1788414554.053066015,108.172655,221.594095,[],,,,,,
266,1788414553931712880,934,1788414554.151927471,98.861456,220.214605,[],,,,,,
267,1788414554031266852,935,1788414554.247088671,95.161200,215.821743,[],,,,,,
268,1788414554131221393,936,1788414554.354767561,107.678890,223.546028,[],,,,,,
269,1788414554232098638,937,1788414554.443556547,88.788986,211.457968,[],,,,,,
270,1788414554331186965,938,1788414554.543785334,100.228786,212.598324,[],,,,,,
271,1788414554431025561,939,1788414554.641408205,97.622871,210.382462,[],,,,,,
272,1788414554532314438,940,1788414554.748649359,107.241154,216.335058,[],,,,,,
273,1788414554631601308,941,1788414554.838511944,89.862585,206.910610,[],,,,,,
274,1788414554731219864,942,1788414554.937096596,98.584652,205.876589,[],,,,,,
275,1788414554831581606,943,1788414555.046735287,109.638691,215.153694,[],,,,,,
276,1788414554931325285,944,1788414555.146333218,99.597931,215.008020,[],,,,,,
277,1788414555031370947,945,1788414555.250710249,104.377031,219.339132,[],,,,,,
278,1788414555131455336,946,1788414555.350782394,100.072145,219.327211,[],,,,,,
279,1788414555232278677,947,1788414555.441569567,90.787172,209.290743,[],,,,,,
280,1788414555331627745,948,1788414555.537054539,95.484972,205.426693,[],,,,,,
281,1788414555432029268,949,1788414555.638582706,101.528168,206.553459,[],,,,,,
282,1788414555531385736,950,1788414555.742946863,104.364157,211.560965,[],,,,,,
283,1788414555632428904,951,1788414555.842507839,99.560976,210.078955,[],,,,,,
284,1788414555731132444,952,1788414555.938287973,95.780134,207.155466,[],,,,,,
285,1788414555831238618,953,1788414556.044004679,105.716705,212.765932,[],,,,,,
286,1788414555931486371,954,1788414556.143548489,99.543810,212.062120,[],,,,,,
287,1788414556031973171,955,1788414556.243886948,100.338459,211.913824,[],,,,,,
288,1788414556131583800,956,1788414556.337192535,93.305588,205.608845,[],,,,,,
289,1788414556231771295,957,1788414556.449350119,112.157583,217.578650,[],,,,,,
290,1788414556331863433,958,1788414556.537170649,87.820530,205.307007,[],,,,,,
291,1788414556433206923,959,1788414556.637245655,100.075006,204.038620,[],,,,,,
292,1788414556531076338,960,1788414556.738234520,100.988865,207.158089,[],,,,,,
293,1788414556631115660,961,1788414556.844484806,106.250286,213.369131,[],,,,,,
294,1788414556732537675,962,1788414556.949066401,104.581594,216.528893,[],,,,,,
295,1788414556831262049,963,1788414557.047244310,98.177910,215.982437,[],,,,,,
296,1788414556931875268,964,1788414557.151907444,104.663134,220.032215,[],,,,,,
297,1788414557032517579,965,1788414557.243784189,91.876745,211.266518,[],,,,,,
298,1788414557131717331,966,1788414557.341364145,97.579956,209.646702,[],,,,,,
299,1788414557231899943,967,1788414557.437088728,95.724583,205.188751,[],,,,,,
300,1788414557331663834,968,1788414557.536472797,99.384069,204.808950,[],,,,,,
301,1788414557432233335,969,1788414557.642507076,106.034279,210.273743,[],,,,,,
302,1788414557531848455,970,1788414557.747381210,104.874134,215.532780,[],,,,,,
303,1788414557631283935,971,1788414557.853679180,106.297970,222.395182,[],,,,,,
304,1788414557732447440,972,1788414557.949499130,95.819950,217.051744,[],,,,,,
305,1788414557831652069,973,1788414558.045090199,95.591068,213.438034,[],,,,,,
306,1788414557931249632,974,1788414558.143833399,98.743200,212.583780,[],,,,,,
307,1788414558031039672,975,1788414558.240829706,96.996307,209.789991,[],,,,,,
308,1788414558131320009,976,1788414558.339147806,98.318100,207.827806,[],,,,,,
309,1788414558231753799,977,1788414558.441572905,102.425098,209.819078,[],,,,,,
310,1788414558331050301,978,1788414558.547992945,106.420040,216.942787,[],,,,,,
311,1788414558431123652,979,1788414558.646275997,98.283052,215.152264,[],,,,,,
312,1788414558532241998,980,1788414558.747891903,101.615906,215.650082,[],,,,,,
313,1788414558631700923,981,1788414558.843462706,95.570803,211.761713,[],,,,,,
314,1788414558731486666,982,1788414558.940884590,97.421885,209.397793,[],,,,,,
315,1788414558831431731,983,1788414559.047425747,106.541157,215.994120,[],,,,,,
316,1788414558932214000,984,1788414559.243433237,196.007490,311.219215,[],,,,,,
317,1788414559031592057,985,1788414559.434913874,191.480637,403.321981,[],,,,,,
319,1788414559231779026,987,1788414559.631903648,196.989775,400.124550,[],,,,,,
321,1788414559430988229,989,1788414559.834268093,202.364445,403.279781,[],,,,,,
323,1788414559631127372,991,1788414560.041919708,207.651615,410.792351,[],,,,,,
325,1788414559831977100,993,1788414560.249217510,207.297802,417.240381,[],,,,,,
327,1788414560031109438,995,1788414560.343603849,94.386339,312.494516,[],,,,,,
328,1788414560131302976,996,1788414560.437642097,94.038248,306.339264,[],,,,,,
329,1788414560231249054,997,1788414560.542251348,104.609251,311.002254,[],,,,,,
330,1788414560331362335,998,1788414560.634194613,91.943264,302.832365,[],,,,,,
331,1788414560431413791,999,1788414560.741410494,107.215881,309.996843,[],,,,,,
332,1788414560532190694,1000,1788414560.838336468,96.925974,306.145668,[],,,,,,
333,1788414560631356095,1001,1788414560.938543081,100.206614,307.186842,[],,,,,,
334,1788414560731843233,1002,1788414561.043941975,105.398893,312.098742,[],,,,,,
335,1788414560831830243,1003,1788414561.135414362,91.472387,303.584099,[],,,,,,
336,1788414560931411029,1004,1788414561.225689650,90.275288,294.278622,[],,,,,,
337,1788414561031981741,1005,1788414561.321709633,96.019983,289.727926,[],,,,,,
338,1788414561131328839,1006,1788414561.419628143,97.918510,288.299322,[],,,,,,
339,1788414561231477919,1007,1788414561.509810448,90.182304,278.332472,[],,,,,,
340,1788414561331950967,1008,1788414561.597880602,88.070154,265.929699,[],,,,,,
341,1788414561431051144,1009,1788414561.710560799,112.680197,279.509544,[],,,,,,
342,1788414561531276539,1010,1788414561.808006287,97.445488,276.729822,[],,,,,,
343,1788414561631744780,1011,1788414561.898016691,90.010405,266.271830,[],,,,,,
344,1788414561732082444,1012,1788414561.985454082,87.437391,253.371716,[],,,,,,
345,1788414561831602232,1013,1788414562.075299978,89.845896,243.697882,[],,,,,,
346,1788414561931172316,1014,1788414562.162978411,87.678432,231.806040,[],,,,,,
347,1788414562031242302,1015,1788414562.251199484,88.221073,219.957352,[],,,,,,
348,1788414562131462182,1016,1788414562.338292599,87.093115,206.830502,[],,,,,,
