run_id,source_frame_index,sensor_time_unix_s,log_msg_time_unix_s,mapping_abs_residual_ms,log_source_line,points_before_fusing,downsample_ms,fuse_ms,shuffle_ms,cloud_to_array_ms,inference_ms,postprocess_ms,nms_ms,listed_stage_sum_ms,lidar_detection_execution_trace_ms,inference_share_of_trace_execution,data_status,missing_reason
202609031348,27,1788414530.0310986,1788414530.031099,0.000476837158203125,1511.0,36454.0,9.87618,0.111905,0.00032,0.337476,74.469,0.171458,0.118113,85.084452,85.214784,0.8738976560686934,complete,
202609031348,28,1788414530.131055,1788414530.131055,0.0,1558.0,36442.0,8.30336,0.046881,0.000256,0.228834,73.7539,0.171202,0.113761,82.618194,82.750464,0.891280802969274,complete,
202609031348,29,1788414530.2315607,1788414530.231561,0.0002384185791015625,1615.0,36515.0,17.369,0.087841,0.000384,0.509894,77.1416,0.279267,0.166818,95.55480399999999,95.77216,0.8054699820908289,complete,
202609031348,30,1788414530.331768,1788414530.331768,0.0,1674.0,36540.0,12.6188,0.067105,0.000352,0.292643,187.034,0.168354,0.114945,200.296199,200.437504,0.9331287621701775,complete,
202609031348,31,1788414530.4312043,,,,,,,,,,,,,,,unavailable,no uniquely mapped CenterPoint breakdown in selected window
202609031348,32,1788414530.531059,1788414530.531059,0.0,1716.0,36611.0,8.01766,0.046209,0.000288,0.216258,73.6992,0.165538,0.113825,82.258978,82.35904,0.8948525869169919,complete,
202609031348,33,1788414530.6310794,1788414530.631079,0.000476837158203125,1763.0,36562.0,14.3512,0.076417,0.00032,0.382116,74.5369,0.157346,0.120065,89.624364,89.768256,0.8303258113870454,complete,
202609031348,34,1788414530.731541,1788414530.731541,0.0,1807.0,36572.0,12.7528,0.073793,0.000352,0.314212,75.3306,0.216834,0.132706,88.821297,88.946784,0.8469176356055774,complete,
202609031348,35,1788414530.8320105,1788414530.832011,0.000476837158203125,1853.0,36550.0,8.83661,0.055489,0.000288,0.226563,74.0113,0.183522,0.145154,83.458926,83.58064,0.8855076965191939,complete,
202609031348,36,1788414530.9310014,1788414530.931001,0.000476837158203125,1913.0,36431.0,9.9197,0.049312,0.000256,0.233987,171.657,0.16877,0.106593,182.13561800000002,182.291904,0.9416600311553058,complete,
202609031348,37,1788414531.0323875,1788414531.032387,0.000476837158203125,1970.0,36402.0,9.06727,0.048225,0.000256,0.215202,169.114,0.158465,0.110754,178.71417200000002,178.831552,0.9456608641410215,complete,
202609031348,38,1788414531.1316383,,,,,,,,,,,,,,,unavailable,no uniquely mapped CenterPoint breakdown in selected window
202609031348,39,1788414531.2314358,1788414531.231436,0.0002384185791015625,2019.0,36504.0,8.67767,0.056385,0.000256,0.214371,75.9124,0.154722,0.111265,85.127069,85.233472,0.8906407097906325,complete,
202609031348,40,1788414531.3319016,1788414531.331902,0.000476837158203125,2067.0,36550.0,8.01644,0.054209,0.000288,0.217474,74.471,0.160834,0.108673,83.028918,83.1464,0.8956611470851414,complete,
