run_id,module,trigger_type,instance_id,source_frame_index,input_mono_ns,output_mono_ns,next_input_mono_ns,deadline_budget_ms,response_time_ms,slack_ms,deadline_evaluable,deadline_miss,deadline_result_reason
202609031348,perception,event,72181563973960394,46,517944649816064,517944758462976.0,517944750609760.0,100.793696,108.646912,-7.853216,True,True,output_after_next_input
202609031348,perception,event,72181563973960395,47,517944750609760,517944853597344.0,517944851038368.0,100.428608,102.987584,-2.558976,True,True,output_after_next_input
202609031348,perception,event,72181563973960396,48,517944851038368,517944966337632.0,517944953955008.0,102.91664,115.299264,-12.382624,True,True,output_after_next_input
202609031348,perception,event,72181563973960397,49,517944953955008,517945056091200.0,517945050608288.0,96.65328,102.136192,-5.482912,True,True,output_after_next_input
202609031348,perception,event,72181563973960398,50,517945050608288,517945155805600.0,517945153382784.0,102.774496,105.197312,-2.422816,True,True,output_after_next_input
202609031348,perception,event,72181563973960399,51,517945153382784,517945261294752.0,517945248915488.0,95.532704,107.911968,-12.379264,True,True,output_after_next_input
202609031348,perception,event,72181563973960400,52,517945248915488,517945352794496.0,517945357599904.0,108.684416,103.879008,4.805408,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960401,53,517945357599904,517945463068192.0,517945472073152.0,114.473248,105.468288,9.00496,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960402,54,517945472073152,517945576782976.0,517945557303488.0,85.230336,104.709824,-19.479488,True,True,output_after_next_input
202609031348,perception,event,72181563973960403,55,517945557303488,517945661515168.0,517945651195552.0,93.892064,104.21168,-10.319616,True,True,output_after_next_input
202609031348,perception,event,72181563973960404,56,517945651195552,517945756585184.0,517945751095264.0,99.899712,105.389632,-5.48992,True,True,output_after_next_input
202609031348,perception,event,72181563973960405,57,517945751095264,517945851872608.0,517945850762336.0,99.667072,100.777344,-1.110272,True,True,output_after_next_input
202609031348,perception,event,72181563973960406,58,517945850762336,517945955145376.0,517945948254240.0,97.491904,104.38304,-6.891136,True,True,output_after_next_input
202609031348,perception,event,72181563973960407,59,517945948254240,517946052109344.0,517946051095680.0,102.84144,103.855104,-1.013664,True,True,output_after_next_input
202609031348,perception,event,72181563973960408,60,517946051095680,517946177503360.0,517946149738080.0,98.6424,126.40768,-27.76528,True,True,output_after_next_input
202609031348,perception,event,72181563973960409,61,517946149738080,517946262709696.0,517946253524576.0,103.786496,112.971616,-9.18512,True,True,output_after_next_input
202609031348,perception,event,72181563973960410,62,517946253524576,517946370150752.0,517946351769472.0,98.244896,116.626176,-18.38128,True,True,output_after_next_input
202609031348,perception,event,72181563973960411,63,517946351769472,517946462111328.0,517946449124480.0,97.355008,110.341856,-12.986848,True,True,output_after_next_input
202609031348,perception,event,72181563973960412,64,517946449124480,517946550845088.0,517946549298720.0,100.17424,101.720608,-1.546368,True,True,output_after_next_input
202609031348,perception,event,72181563973960413,65,517946549298720,517946650845056.0,517946648232608.0,98.933888,101.546336,-2.612448,True,True,output_after_next_input
202609031348,perception,event,72181563973960414,66,517946648232608,517946754854240.0,517946752348768.0,104.11616,106.621632,-2.505472,True,True,output_after_next_input
202609031348,perception,event,72181563973960415,67,517946752348768,517946856710208.0,517946857167904.0,104.819136,104.36144,0.457696,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960416,68,517946857167904,517946967680064.0,517946957253280.0,100.085376,110.51216,-10.426784,True,True,output_after_next_input
202609031348,perception,event,72181563973960417,69,517946957253280,517947165385408.0,517947052118880.0,94.8656,208.132128,-113.266528,True,True,output_after_next_input
202609031348,perception,event,72181563973960418,70,517947052118880,517947342468608.0,517947150003424.0,97.884544,290.349728,-192.465184,True,True,output_after_next_input
202609031348,perception,event,72181563973960419,71,517947150003424,,517947250882080.0,100.878656,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960420,72,517947250882080,517947520502528.0,517947351474816.0,100.592736,269.620448,-169.027712,True,True,output_after_next_input
202609031348,perception,event,72181563973960421,73,517947351474816,,517947453305216.0,101.8304,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960422,74,517947453305216,517947699835968.0,517947551368544.0,98.063328,246.530752,-148.467424,True,True,output_after_next_input
202609031348,perception,event,72181563973960423,75,517947551368544,,517947650439904.0,99.07136,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960424,76,517947650439904,517947783425824.0,517947750266048.0,99.826144,132.98592,-33.159776,True,True,output_after_next_input
202609031348,perception,event,72181563973960425,77,517947750266048,517947961934432.0,517947855322720.0,105.056672,211.668384,-106.611712,True,True,output_after_next_input
202609031348,perception,event,72181563973960426,78,517947855322720,517948141306848.0,517947966514944.0,111.192224,285.984128,-174.791904,True,True,output_after_next_input
202609031348,perception,event,72181563973960427,79,517947966514944,,517948052423264.0,85.90832,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960428,80,517948052423264,517948322505504.0,517948154148448.0,101.725184,270.08224,-168.357056,True,True,output_after_next_input
202609031348,perception,event,72181563973960429,81,517948154148448,,517948252086912.0,97.938464,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960430,82,517948252086912,517948503948672.0,517948352325440.0,100.238528,251.86176,-151.623232,True,True,output_after_next_input
202609031348,perception,event,72181563973960431,83,517948352325440,,517948455979040.0,103.6536,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960432,84,517948455979040,517948684422432.0,517948552659168.0,96.680128,228.443392,-131.763264,True,True,output_after_next_input
202609031348,perception,event,72181563973960433,85,517948552659168,,517948650823872.0,98.164704,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960434,86,517948650823872,517948866416608.0,517948761999360.0,111.175488,215.592736,-104.417248,True,True,output_after_next_input
202609031348,perception,event,72181563973960435,87,517948761999360,517949057316832.0,517948852160672.0,90.161312,295.317472,-205.15616,True,True,output_after_next_input
202609031348,perception,event,72181563973960436,88,517948852160672,,517948953214400.0,101.053728,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960437,89,517948953214400,517949264772480.0,517949053595328.0,100.380928,311.55808,-211.177152,True,True,output_after_next_input
202609031348,perception,event,72181563973960438,90,517949053595328,,517949153856928.0,100.2616,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960439,91,517949153856928,517949458853856.0,517949258409376.0,104.552448,304.996928,-200.44448,True,True,output_after_next_input
202609031348,perception,event,72181563973960440,92,517949258409376,,517949351829952.0,93.420576,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960441,93,517949351829952,517949648514272.0,517949453304896.0,101.474944,296.68432,-195.209376,True,True,output_after_next_input
202609031348,perception,event,72181563973960442,94,517949453304896,,517949564266752.0,110.961856,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960443,95,517949564266752,517949834101792.0,517949652685472.0,88.41872,269.83504,-181.41632,True,True,output_after_next_input
202609031348,perception,event,72181563973960444,96,517949652685472,,517949757999520.0,105.314048,,,True,True,no_output_before_next_input
202609031348,perception,event,72181563973960445,97,517949757999520,517949930154976.0,517949849851296.0,91.851776,172.155456,-80.30368,True,True,output_after_next_input
202609031348,perception,event,72181563973960446,98,517949849851296,517950019771456.0,517949952582400.0,102.731104,169.92016,-67.189056,True,True,output_after_next_input
202609031348,perception,event,72181563973960447,99,517949952582400,517950112787712.0,517950052864896.0,100.282496,160.205312,-59.922816,True,True,output_after_next_input
202609031348,perception,event,72181563973960448,100,517950052864896,517950199402656.0,517950149398848.0,96.533952,146.53776,-50.003808,True,True,output_after_next_input
202609031348,perception,event,72181563973960449,101,517950149398848,517950285639456.0,517950249197504.0,99.798656,136.240608,-36.441952,True,True,output_after_next_input
202609031348,perception,event,72181563973960450,102,517950249197504,517950374393280.0,517950349401664.0,100.20416,125.195776,-24.991616,True,True,output_after_next_input
202609031348,perception,event,72181563973960451,103,517950349401664,517950458369952.0,517950454006432.0,104.604768,108.968288,-4.36352,True,True,output_after_next_input
202609031348,perception,event,72181563973960452,104,517950454006432,517950554021280.0,517950549625568.0,95.619136,100.014848,-4.395712,True,True,output_after_next_input
202609031348,perception,event,72181563973960453,105,517950549625568,517950662633632.0,517950651313984.0,101.688416,113.008064,-11.319648,True,True,output_after_next_input
202609031348,perception,event,72181563973960454,106,517950651313984,517950763292800.0,517950759999040.0,108.685056,111.978816,-3.29376,True,True,output_after_next_input
202609031348,perception,event,72181563973960455,107,517950759999040,517950874647712.0,517950851896480.0,91.89744,114.648672,-22.751232,True,True,output_after_next_input
202609031348,perception,event,72181563973960456,108,517950851896480,517950958788640.0,517950950606016.0,98.709536,106.89216,-8.182624,True,True,output_after_next_input
202609031348,perception,event,72181563973960457,109,517950950606016,517951068547296.0,517951051681920.0,101.075904,117.94128,-16.865376,True,True,output_after_next_input
202609031348,perception,event,72181563973960458,110,517951051681920,517951156540800.0,517951149975104.0,98.293184,104.85888,-6.565696,True,True,output_after_next_input
202609031348,perception,event,72181563973960459,111,517951149975104,517951269037216.0,517951252799520.0,102.824416,119.062112,-16.237696,True,True,output_after_next_input
202609031348,perception,event,72181563973960460,112,517951252799520,517951368716864.0,517951351851168.0,99.051648,115.917344,-16.865696,True,True,output_after_next_input
202609031348,perception,event,72181563973960461,113,517951351851168,517951466973248.0,517951461606848.0,109.75568,115.12208,-5.3664,True,True,output_after_next_input
202609031348,perception,event,72181563973960462,114,517951461606848,517951563418496.0,517951549582560.0,87.975712,101.811648,-13.835936,True,True,output_after_next_input
202609031348,perception,event,72181563973960463,115,517951549582560,517951650178720.0,517951651656384.0,102.073824,100.59616,1.477664,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960464,116,517951651656384,517951750490368.0,517951750951456.0,99.295072,98.833984,0.461088,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960465,117,517951750951456,517951849736928.0,517951852733152.0,101.781696,98.785472,2.996224,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960466,118,517951852733152,517951963295936.0,517951952279840.0,99.546688,110.562784,-11.016096,True,True,output_after_next_input
202609031348,perception,event,72181563973960467,119,517951952279840,517952053695552.0,517952050549248.0,98.269408,101.415712,-3.146304,True,True,output_after_next_input
202609031348,perception,event,72181563973960468,120,517952050549248,517952151978208.0,517952150699936.0,100.150688,101.42896,-1.278272,True,True,output_after_next_input
202609031348,perception,event,72181563973960469,121,517952150699936,517952259596992.0,517952252057664.0,101.357728,108.897056,-7.539328,True,True,output_after_next_input
202609031348,perception,event,72181563973960470,122,517952252057664,517952361022624.0,517952351259264.0,99.2016,108.96496,-9.76336,True,True,output_after_next_input
202609031348,perception,event,72181563973960471,123,517952351259264,517952465663168.0,517952449242688.0,97.983424,114.403904,-16.42048,True,True,output_after_next_input
202609031348,perception,event,72181563973960472,124,517952449242688,517952559729824.0,517952551608800.0,102.366112,110.487136,-8.121024,True,True,output_after_next_input
202609031348,perception,event,72181563973960473,125,517952551608800,517952661469984.0,517952651155520.0,99.54672,109.861184,-10.314464,True,True,output_after_next_input
202609031348,perception,event,72181563973960474,126,517952651155520,517952761182944.0,517952749933856.0,98.778336,110.027424,-11.249088,True,True,output_after_next_input
202609031348,perception,event,72181563973960475,127,517952749933856,517952874846784.0,517952850004576.0,100.07072,124.912928,-24.842208,True,True,output_after_next_input
202609031348,perception,event,72181563973960476,128,517952850004576,517952959302848.0,517952949647904.0,99.643328,109.298272,-9.654944,True,True,output_after_next_input
202609031348,perception,event,72181563973960477,129,517952949647904,517953053902048.0,517953052536640.0,102.888736,104.254144,-1.365408,True,True,output_after_next_input
202609031348,perception,event,72181563973960478,130,517953052536640,517953175973344.0,517953151413664.0,98.877024,123.436704,-24.55968,True,True,output_after_next_input
202609031348,perception,event,72181563973960479,131,517953151413664,517953260998368.0,517953256651904.0,105.23824,109.584704,-4.346464,True,True,output_after_next_input
202609031348,perception,event,72181563973960480,132,517953256651904,517953359434560.0,517953351399776.0,94.747872,102.782656,-8.034784,True,True,output_after_next_input
202609031348,perception,event,72181563973960481,133,517953351399776,517953463559072.0,517953448809376.0,97.4096,112.159296,-14.749696,True,True,output_after_next_input
202609031348,perception,event,72181563973960482,134,517953448809376,517953559286464.0,517953553843872.0,105.034496,110.477088,-5.442592,True,True,output_after_next_input
202609031348,perception,event,72181563973960483,135,517953553843872,517953657025152.0,517953652474720.0,98.630848,103.18128,-4.550432,True,True,output_after_next_input
202609031348,perception,event,72181563973960484,136,517953652474720,517953749569792.0,517953755372448.0,102.897728,97.095072,5.802656,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960485,137,517953755372448,517953852434016.0,517953852040704.0,96.668256,97.061568,-0.393312,True,True,output_after_next_input
202609031348,perception,event,72181563973960486,138,517953852040704,517953950933120.0,517953967961984.0,115.92128,98.892416,17.028864,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960487,139,517953967961984,517954073553984.0,517954051403840.0,83.441856,105.592,-22.150144,True,True,output_after_next_input
202609031348,perception,event,72181563973960488,140,517954051403840,517954165600704.0,517954159321344.0,107.917504,114.196864,-6.27936,True,True,output_after_next_input
202609031348,perception,event,72181563973960489,141,517954159321344,517954259768480.0,517954250092480.0,90.771136,100.447136,-9.676,True,True,output_after_next_input
202609031348,perception,event,72181563973960490,142,517954250092480,517954365661088.0,517954350217216.0,100.124736,115.568608,-15.443872,True,True,output_after_next_input
202609031348,perception,event,72181563973960491,143,517954350217216,517954462058304.0,517954450334176.0,100.11696,111.841088,-11.724128,True,True,output_after_next_input
202609031348,perception,event,72181563973960492,144,517954450334176,517954561368192.0,517954551588704.0,101.254528,111.034016,-9.779488,True,True,output_after_next_input
202609031348,perception,event,72181563973960493,145,517954551588704,517954668243232.0,517954651280256.0,99.691552,116.654528,-16.962976,True,True,output_after_next_input
202609031348,perception,event,72181563973960494,146,517954651280256,517954750651680.0,517954750536384.0,99.256128,99.371424,-0.115296,True,True,output_after_next_input
202609031348,perception,event,72181563973960495,147,517954750536384,517954849607424.0,517954851933216.0,101.396832,99.07104,2.325792,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960496,148,517954851933216,517954952159392.0,517954948835232.0,96.902016,100.226176,-3.32416,True,True,output_after_next_input
202609031348,perception,event,72181563973960497,149,517954948835232,517955049355104.0,517955050233728.0,101.398496,100.519872,0.878624,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960498,150,517955050233728,517955156680576.0,517955149637568.0,99.40384,106.446848,-7.043008,True,True,output_after_next_input
202609031348,perception,event,72181563973960499,151,517955149637568,517955249081824.0,517955254193952.0,104.556384,99.444256,5.112128,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960500,152,517955254193952,517955357087808.0,517955349073344.0,94.879392,102.893856,-8.014464,True,True,output_after_next_input
202609031348,perception,event,72181563973960501,153,517955349073344,517955444413248.0,517955453826880.0,104.753536,95.339904,9.413632,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960502,154,517955453826880,517955552062016.0,517955551953408.0,98.126528,98.235136,-0.108608,True,True,output_after_next_input
202609031348,perception,event,72181563973960503,155,517955551953408,517955669442784.0,517955656792640.0,104.839232,117.489376,-12.650144,True,True,output_after_next_input
202609031348,perception,event,72181563973960504,156,517955656792640,517955756500288.0,517955768708192.0,111.915552,99.707648,12.207904,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960505,157,517955768708192,517955877873440.0,517955865770336.0,97.062144,109.165248,-12.103104,True,True,output_after_next_input
202609031348,perception,event,72181563973960506,158,517955865770336,517955970235424.0,517955969181664.0,103.411328,104.465088,-1.05376,True,True,output_after_next_input
202609031348,perception,event,72181563973960507,159,517955969181664,517956066343072.0,517956062732896.0,93.551232,97.161408,-3.610176,True,True,output_after_next_input
202609031348,perception,event,72181563973960508,160,517956062732896,517956161345920.0,517956162904224.0,100.171328,98.613024,1.558304,True,False,output_before_or_at_next_input
202609031348,perception,event,72181563973960509,161,517956162904224,517956267732832.0,517956259549440.0,96.645216,104.828608,-8.183392,True,True,output_after_next_input
202609031348,perception,event,72181563973960510,162,517956259549440,517956370319552.0,517956364435840.0,104.8864,110.770112,-5.883712,True,True,output_after_next_input
202609031348,perception,event,72181563973960511,163,517956364435840,517956473036768.0,517956464822528.0,100.386688,108.600928,-8.21424,True,True,output_after_next_input
202609031348,perception,event,72181563973960512,164,517956464822528,517956580554144.0,517956561062656.0,96.240128,115.731616,-19.491488,True,True,output_after_next_input
