run_id,log_source_line,wall_time_local,wall_time_unix_s,channel,drop_message_count
202609031348,128,2026-09-03T13:48:47.251847+08:00,1788414527.251847,/perception/inner/PrefusedObjects,1
202609031348,129,2026-09-03T13:48:47.251880+08:00,1788414527.25188,/perception/inner/PrefusedObjects,1
202609031348,1676,2026-09-03T13:48:50.656237+08:00,1788414530.656237,/perception/lidar/pointcloud_ground_detection,1
202609031348,1973,2026-09-03T13:48:51.411252+08:00,1788414531.411252,/perception/lidar/pointcloud_ground_detection,1
202609031348,3497,2026-09-03T13:48:54.716053+08:00,1788414534.716053,/perception/lidar/pointcloud_ground_detection,1
202609031348,3553,2026-09-03T13:48:54.894227+08:00,1788414534.894227,/perception/lidar/pointcloud_ground_detection,1
202609031348,3614,2026-09-03T13:48:55.073660+08:00,1788414535.07366,/perception/lidar/pointcloud_ground_detection,1
202609031348,3772,2026-09-03T13:48:55.515058+08:00,1788414535.515058,/perception/lidar/pointcloud_ground_detection,1
202609031348,3832,2026-09-03T13:48:55.696547+08:00,1788414535.696547,/perception/lidar/pointcloud_ground_detection,1
202609031348,3894,2026-09-03T13:48:55.877903+08:00,1788414535.877903,/perception/lidar/pointcloud_ground_detection,1
202609031348,3954,2026-09-03T13:48:56.058334+08:00,1788414536.058334,/perception/lidar/pointcloud_ground_detection,1
202609031348,4062,2026-09-03T13:48:56.431337+08:00,1788414536.431337,/perception/lidar/pointcloud_ground_detection,1
202609031348,4123,2026-09-03T13:48:56.638545+08:00,1788414536.638545,/perception/lidar/pointcloud_ground_detection,1
202609031348,4187,2026-09-03T13:48:56.832850+08:00,1788414536.83285,/perception/lidar/pointcloud_ground_detection,1
202609031348,4242,2026-09-03T13:48:57.021575+08:00,1788414537.021575,/perception/lidar/pointcloud_ground_detection,1
202609031348,4303,2026-09-03T13:48:57.207448+08:00,1788414537.207448,/perception/lidar/pointcloud_ground_detection,1
202609031348,14708,2026-09-03T13:49:19.431354+08:00,1788414559.431354,/perception/lidar/pointcloud_ground_detection,1
202609031348,14768,2026-09-03T13:49:19.630227+08:00,1788414559.630227,/perception/lidar/pointcloud_ground_detection,1
202609031348,14829,2026-09-03T13:49:19.832029+08:00,1788414559.832029,/perception/lidar/pointcloud_ground_detection,1
202609031348,14892,2026-09-03T13:49:20.038625+08:00,1788414560.038625,/perception/lidar/pointcloud_ground_detection,1
202609031348,14957,2026-09-03T13:49:20.247489+08:00,1788414560.247489,/perception/lidar/pointcloud_ground_detection,1
202609031348,16117,2026-09-03T13:49:22.554797+08:00,1788414562.554797,/perception/inner/PrefusedObjects,1
202609031348,16118,2026-09-03T13:49:22.554816+08:00,1788414562.554816,/perception/inner/PrefusedObjects,1
202609031348,28981,2026-09-03T13:49:50.035902+08:00,1788414590.035902,/perception/lidar/pointcloud_ground_detection,1
202609031348,29054,2026-09-03T13:49:50.321659+08:00,1788414590.321659,/perception/lidar/pointcloud_ground_detection,2
202609031348,29129,2026-09-03T13:49:50.578699+08:00,1788414590.578699,/perception/lidar/pointcloud_ground_detection,2
202609031348,29191,2026-09-03T13:49:50.832996+08:00,1788414590.832996,/perception/lidar/pointcloud_ground_detection,1
202609031348,29264,2026-09-03T13:49:51.090775+08:00,1788414591.090775,/perception/lidar/pointcloud_ground_detection,2
