frame_index,worker_model_count,worker_tid,model_ordinal,state,start_sched_s,end_sched_s,duration_ms,waker_tid,waker_comm,wake_event
926,2,1646960,1,blocked,968514.916708,968514.92131,4.602000000886619,1646951,mainboard,sched_waking
926,2,1646960,1,blocked,968514.921682,968514.921772,0.08999998681247234,1646942,mainboard,sched_waking
926,2,1646960,1,blocked,968514.921811,968514.926227,4.415999981574714,1646951,mainboard,sched_waking
926,2,1646960,1,blocked,968514.926546,968514.926833,0.2870000898838043,1646942,mainboard,sched_waking
926,2,1646960,1,blocked,968514.927252,968514.931023,3.771000076085329,174,irq/134-host_sy,sched_waking
926,2,1646960,1,blocked,968514.931158,968514.931596,0.4379999591037631,1646951,mainboard,sched_waking
926,2,1646960,1,blocked,968514.931672,968514.935923,4.251000005751848,174,irq/134-host_sy,sched_waking
926,2,1646960,1,blocked,968514.936429,968514.938461,2.031999989412725,174,irq/134-host_sy,sched_waking
926,2,1646960,2,blocked,968514.941165,968514.941469,0.30399998649954796,1646951,mainboard,sched_waking
926,2,1646960,2,blocked,968514.941689,968514.941716,0.026999972760677338,1646951,mainboard,sched_waking
926,2,1646960,2,blocked,968514.941865,968514.941885,0.020000035874545574,1646951,mainboard,sched_waking
926,2,1646960,2,blocked,968514.942081,968514.942101,0.020000035874545574,1646951,mainboard,sched_waking
926,2,1646960,2,blocked,968514.94225,968514.942259,0.00900006853044033,1646951,mainboard,sched_waking
926,2,1646960,2,blocked,968514.94238,968514.942398,0.018000020645558834,1646951,mainboard,sched_waking
926,2,1646960,2,blocked,968514.942518,968514.942592,0.07399998139590025,1646942,mainboard,sched_waking
926,2,1646960,2,blocked,968514.943084,968514.944029,0.9449999779462814,1646951,mainboard,sched_waking
926,2,1646960,2,blocked,968514.944421,968514.944712,0.291000003926456,1646942,mainboard,sched_waking
926,2,1646960,2,blocked,968514.946202,968514.946781,0.5789999850094318,174,irq/134-host_sy,sched_waking
926,2,1646960,2,blocked,968514.946921,968514.946928,0.0069999368861317635,1646942,mainboard,sched_waking
926,2,1646960,2,blocked,968514.947041,968514.947493,0.45199994929134846,174,irq/134-host_sy,sched_waking
