frame,infer_enter_monotonic_ns,infer_exit_monotonic_ns,infer_ms,logged_tid,logged_tid_namespace,host_tid,tid_mapping_evidence
622,518007652089385,518007757412222,105.322837,29037,container_tid=host_tid (before snapshot only),29037,limited validation: before /proc task status Pid=NSpid=29037 and Host ps LWP=29037; after snapshots unavailable
623,518007766575466,518008027201505,260.626039,29037,container_tid=host_tid (before snapshot only),29037,limited validation: before /proc task status Pid=NSpid=29037 and Host ps LWP=29037; after snapshots unavailable
624,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
625,518008037026965,518008313035232,276.008267,29037,container_tid=host_tid (before snapshot only),29037,limited validation: before /proc task status Pid=NSpid=29037 and Host ps LWP=29037; after snapshots unavailable
626,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
627,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
628,518008322537168,518008570167726,247.630558,29037,container_tid=host_tid (before snapshot only),29037,limited validation: before /proc task status Pid=NSpid=29037 and Host ps LWP=29037; after snapshots unavailable
629,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
630,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
631,518008579362074,518008824149463,244.787389,29037,container_tid=host_tid (before snapshot only),29037,limited validation: before /proc task status Pid=NSpid=29037 and Host ps LWP=29037; after snapshots unavailable
632,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
633,518008834638258,518009082385426,247.747168,29037,container_tid=host_tid (before snapshot only),29037,limited validation: before /proc task status Pid=NSpid=29037 and Host ps LWP=29037; after snapshots unavailable
634,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
635,,,,,unavailable,,unavailable: no unique CP_INFER ENTER/EXIT pair mapped to this source frame
636,518009091989571,518009194744603,102.755032,29037,container_tid=host_tid (before snapshot only),29037,limited validation: before /proc task status Pid=NSpid=29037 and Host ps LWP=29037; after snapshots unavailable
637,518009205156405,518009293861415,88.705010,29037,container_tid=host_tid (before snapshot only),29037,limited validation: before /proc task status Pid=NSpid=29037 and Host ps LWP=29037; after snapshots unavailable
638,518009303514713,518009392090986,88.576273,29037,container_tid=host_tid (before snapshot only),29037,limited validation: before /proc task status Pid=NSpid=29037 and Host ps LWP=29037; after snapshots unavailable
639,518009401574553,518009489351041,87.776488,29037,container_tid=host_tid (before snapshot only),29037,limited validation: before /proc task status Pid=NSpid=29037 and Host ps LWP=29037; after snapshots unavailable
