timestamp,cpu,event,prev_tid,prev_comm,prev_state,next_tid,next_comm,target_tid,waker_tid,orig_cpu,dest_cpu,selection_reason,raw_event
518004.45053,3,sched_switch,29037,mainboard,R,29188,dds.udp.27436,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [003] 518004.450530:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=dds.udp.27436 next_pid=29188 next_prio=120
518004.45057,3,sched_switch,29188,dds.udp.27436,S,29098,dds.ev.0,29037,,,,switch_within_direct_competitor_run_window,   dds.udp.27436 29188 [003] 518004.450570:       sched:sched_switch: prev_comm=dds.udp.27436 prev_pid=29188 prev_prio=120 prev_state=S ==> next_comm=dds.ev.0 next_pid=29098 next_prio=120
518004.450602,3,sched_switch,29098,dds.ev.0,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,        dds.ev.0 29098 [003] 518004.450602:       sched:sched_switch: prev_comm=dds.ev.0 prev_pid=29098 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.468383,2,sched_waking,,,,27993,dds.ev.1,29037,27997,,,wake_adjacent_to_direct_competitor_run_window,   dds.udp.27413 27997 [002] 518004.468383:       sched:sched_waking: comm=dds.ev.1 pid=27993 prio=120 target_cpu=003
518004.468401,3,sched_switch,29037,mainboard,R,27993,dds.ev.1,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [003] 518004.468401:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=dds.ev.1 next_pid=27993 next_prio=120
518004.468429,3,sched_switch,27993,dds.ev.1,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,        dds.ev.1 27993 [003] 518004.468429:       sched:sched_switch: prev_comm=dds.ev.1 prev_pid=27993 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.472944,3,sched_switch,29037,mainboard,R,32087,perf,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [003] 518004.472944:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=R ==> next_comm=perf next_pid=32087 next_prio=120
518004.476831,3,sched_switch,32087,perf,S,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,            perf 32087 [003] 518004.476831:       sched:sched_switch: prev_comm=perf prev_pid=32087 prev_prio=120 prev_state=S ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.4786,3,sched_switch,29037,mainboard,S,0,swapper/3,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [003] 518004.478600:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=S ==> next_comm=swapper/3 next_pid=0 next_prio=120
518004.526455,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.526455:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=003
518004.526464,3,sched_switch,0,swapper/3,R,29037,mainboard,29037,,,,switch_involving_anomaly_target_or_kswapd0,         swapper     0 [003] 518004.526464:       sched:sched_switch: prev_comm=swapper/3 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=mainboard next_pid=29037 next_prio=120
518004.526853,3,sched_switch,29037,mainboard,S,0,swapper/3,29037,,,,switch_involving_anomaly_target_or_kswapd0,       mainboard 29037 [003] 518004.526853:       sched:sched_switch: prev_comm=mainboard prev_pid=29037 prev_prio=120 prev_state=S ==> next_comm=swapper/3 next_pid=0 next_prio=120
518004.527068,0,sched_waking,,,,29037,mainboard,29037,174,,,wake_of_anomaly_target_or_kswapd0, irq/134-host_sy   174 [000] 518004.527068:       sched:sched_waking: comm=mainboard pid=29037 prio=120 target_cpu=003
