dimension,metric,source_column,unit,semantics,group_name,n_total_runs,n_available_runs,p50,p90,p95,p99,max,iqr
R,sample-relative physical response,T_e2e_data_observed_ms,ms,t_sample to t_phys; demand-relative R unavailable,single_run_1211_descriptive,1,1,700.1669406890869,700.1669406890869,700.1669406890869,700.1669406890869,700.1669406890869,0.0
A,target data age at t_phys,data_age_target_at_t2_data_observed_ms,ms,latest target source represented before t_phys,single_run_1211_descriptive,1,1,300.47106742858887,300.47106742858887,300.47106742858887,300.47106742858887,300.47106742858887,0.0
G,target output gap in response window,update_gap_target_response_window_max_data_observed_ms,ms,maximum in sample-to-physical window; full-window 188.254 ms separately reported,single_run_1211_descriptive,1,1,97.66387939453125,97.66387939453125,97.66387939453125,97.66387939453125,97.66387939453125,0.0
