run_id,event,t_wall_s,t_iso,relative_t_sample_ms,semantic,evidence_class,clock_domain,source_file,source_locator
202607271211,fault_first_archived_receive,1785125486.9596124,2026-07-27T12:11:26.959612+08:00,-23021.17872238159,Bridge receive/trigger of first archived delayed brake command,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/scb_control_delay_20260727120915_480783.csv,sequence=1
202607271211,t_sample,1785125509.980791,2026-07-27T12:11:49.980791+08:00,0.0,source epoch of first stable target sequence frame,TRACE_LINEAGE,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/perception.log.INFO.20260727-120942.719157,line 9802; trace=17294096575131288686
202607271211,Fusion,1785125510.242578,2026-07-27T12:11:50.242578+08:00,261.78693771362305,stable target output,TRACE_LINEAGE,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/perception.log.INFO.20260727-120942.719157,trace=17294096575131288686
202607271211,Prediction,1785125510.24672,2026-07-27T12:11:50.246720+08:00,265.9289836883545,static-target output,TRACE_LINEAGE,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/prediction.log.INFO.20260727-120935.719147,trace=17294096575131288686
202607271211,Planning_STOP,1785125510.258677,2026-07-27T12:11:50.258677+08:00,277.88591384887695,STOP for target 12,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/planning.log.INFO.20260727-120936.719151,trace=17294096575131288686
202607271211,Planning_output,1785125510.26405,2026-07-27T12:11:50.264050+08:00,283.25891494750977,nonempty fallback trajectory output,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/planning.log.INFO.20260727-120936.719151,planning seq=640
202607271211,Control_output,1785125510.2733912,2026-07-27T12:11:50.273391+08:00,292.600154876709,same-trace Control command output,TRACE_LINEAGE,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/trace/message_context/control.719153.csv,trace=17294096575131288686
202607271211,t_phys,1785125510.680958,2026-07-27T12:11:50.680958+08:00,700.1669406890869,first sustained effective-deceleration sample,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,raw detector threshold 0.5 m/s^2
202607271211,target_gap_start,1785125512.72607,2026-07-27T12:11:52.726070+08:00,2745.278835296631,largest target Fusion gap begins,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/perception.log.INFO.20260727-120942.719157,trace=17294096575131288711
202607271211,target_gap_end,1785125512.914324,2026-07-27T12:11:52.914324+08:00,2933.532953262329,largest target Fusion gap ends,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/perception.log.INFO.20260727-120942.719157,trace=17294096575131288713
202607271211,near_stop,1785125513.180307,2026-07-27T12:11:53.180307+08:00,3199.5158195495605,speed <= near-stop threshold,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,near-stop detector
202607271211,minimum_speed_proxy,1785125513.38038,2026-07-27T12:11:53.380380+08:00,3399.5888233184814,post-response minimum-speed endpoint,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143,minimum speed sample
