record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,measurement_time,status_json,pose_status_json
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598543421382064,1783598543.4213822,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598543.4211483,693,localization,0,0,0,1783598543.4185436,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598543521154926,1783598543.5211549,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598543.5208945,694,localization,0,0,0,1783598543.518495,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598543621557685,1783598543.6215577,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598543.621269,695,localization,0,0,0,1783598543.6184475,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598543722396801,1783598543.7223969,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598543.7221186,696,localization,0,0,0,1783598543.7191901,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598543821878683,1783598543.8218787,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598543.8213344,697,localization,0,0,0,1783598543.8184688,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598543921858876,1783598543.9218588,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598543.9215474,698,localization,0,0,0,1783598543.9185793,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598544021339191,1783598544.0213392,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598544.0207863,699,localization,0,0,0,1783598544.0184104,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598544121847006,1783598544.1218472,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598544.1213412,700,localization,0,0,0,1783598544.1184175,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598544221127158,1783598544.2211273,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598544.2209039,701,localization,0,0,0,1783598544.218444,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598544321459356,1783598544.3214595,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598544.321029,702,localization,0,0,0,1783598544.3184896,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598544421894754,1783598544.4218946,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598544.4216523,703,localization,0,0,0,1783598544.4187143,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598544521132826,1783598544.5211327,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598544.520789,704,localization,0,0,0,1783598544.518407,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598544621348766,1783598544.6213489,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598544.6209612,705,localization,0,0,0,1783598544.6183429,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598544721625186,1783598544.721625,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598544.721368,706,localization,0,0,0,1783598544.7183988,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598544821817926,1783598544.8218179,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598544.8214889,707,localization,0,0,0,1783598544.8184445,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598544922659058,1783598544.9226592,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598544.9224288,708,localization,0,0,0,1783598544.9193687,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598545021822185,1783598545.0218222,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598545.0215237,709,localization,0,0,0,1783598545.018448,,
