record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,measurement_time,vx,vy,vz,speed,ax,ay,az,angular_x,angular_y,angular_z
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540821174033,1783598540.821174,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598540.8208003,667,localization,0,0,0,1783598540.8184028,2.17004656791687,0.0022433577105402946,-1.1920928955078125e-06,2.1700477274896572,-4.95543501730914e-11,-1.023749932689891,9.811719419639607,-0.000667715705196882,-6.688398837401283e-06,0.000377552485700383
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540922349360,1783598540.9223492,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598540.9220486,668,localization,0,0,0,1783598540.9187262,2.2873871326446533,0.002442029770463705,-1.2779235021298518e-06,2.28738843620828,0.002499999801168485,-1.1287499141219977,9.811954255581096,-0.0007411029600782466,-2.3701066933825874e-06,0.00039044963350473084
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541021825238,1783598541.0218253,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.0216074,669,localization,0,0,0,1783598541.0186172,2.411501169204712,0.0026318903546780348,-1.449584942747606e-06,2.4115026054152695,0.007499999712000326,-1.2187499356973062,9.81050788176141,-0.0006938293356579169,-3.853729423550196e-06,0.00039324236300886773
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541121888410,1783598541.1218884,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.1215997,670,localization,0,0,0,1783598541.1187027,2.5400609970092773,0.0028376004192978144,-9.441375254937157e-07,2.5400625820055684,0.0012499999389763191,-1.2674999211911677,9.809159670148901,-0.0006168404338056286,-4.787756864952129e-06,0.0003972344494169761
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541221937373,1783598541.2219374,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.2216742,671,localization,0,0,0,1783598541.2184472,2.6748952865600586,0.0030654380097985268,-1.1253356433371664e-06,2.6748970430602887,-1.1923375341464835e-10,-1.322500049193642,9.809687339716966,-0.0006002694569247493,-4.034557088343183e-06,0.0004042465858511182
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541322461285,1783598541.3224611,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.3222196,672,localization,0,0,0,1783598541.3191264,2.815701484680176,0.0033074079547077417,-2.288818308215923e-07,2.8157034271701233,0.0012499997181754667,-1.3887499423674476,9.810019612830251,-0.0005605177666685882,-3.8229790258067134e-06,0.0004085310990324652
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541421880511,1783598541.4218805,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.421577,673,localization,0,0,0,1783598541.4186049,2.959883451461792,0.0032369676046073437,-6.00814814788464e-07,2.9598852214565694,-0.002500000177008324,-1.434999914814935,9.809394574552112,-0.0004827252115517239,-9.26233057472247e-07,0.00024775378204976395
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541521689565,1783598541.5216897,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.5213003,674,localization,0,0,0,1783598541.5183773,3.1060357093811035,0.0035628981422632933,-3.8146970382513246e-07,3.1060377528603693,0.003749999732573347,-1.4599998491181638,9.809141838368394,-0.00039766631090912567,-7.533498335142196e-06,0.0003084531972408044
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541622153157,1783598541.6221533,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.6218672,675,localization,0,0,0,1783598541.6185322,3.242811918258667,0.0038258887361735106,-1.5258788721439487e-07,3.2428141751609973,0.007499999917326159,-1.4312499873199065,9.807363840313846,-7.375347485265595e-05,-4.974241332134588e-06,0.00032351912232347603
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541721627775,1783598541.7216277,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598541.7211564,676,localization,0,0,0,1783598541.7184472,3.3660683631896973,0.003970161080360413,-5.626678216685832e-07,3.3660707045226914,-0.002499999961465335,-1.2937499885418946,9.805723302624779,0.00014739809703657788,1.9110606704729048e-07,0.0002797389349517006
