group_name,collision_count,total_runs,collision_rate,exact_95ci_low,exact_95ci_high,fisher_vs_baseline_p
baseline,0,6,0.0,0.0,0.4592581264399005,
delay_100ms,0,6,0.0,0.0,0.4592581264399005,1.0
delay_300ms,0,6,0.0,0.0,0.4592581264399005,1.0
delay_400ms,3,5,0.6,0.14663279963467318,0.9472550494736831,0.0606060606060606
