group_name,metric,n,missing_n,valid_n,mean,std,median,q1,q3,min,max,p90,bootstrap_mean_ci_low,bootstrap_mean_ci_high
baseline,actual_e2e_latency_ms,6,0,6,343.6569770177205,15.69921830546786,342.1449661254883,330.71714639663696,351.9085645675659,328.1378746032715,367.4430847167969,359.821081161499,333.095908164978,355.6172053019206
baseline,measured_added_delay_ms,6,0,6,1.512010892232259,15.699218305467861,0.0,-11.427819728851318,9.763598442077637,-14.007091522216797,25.298118591308594,17.676115036010742,-9.129881858825684,13.570025563240016
baseline,D1_clear_m,6,0,6,39.96608243108483,0.4756910747248408,40.06675687297454,39.59749467219339,40.20967245106054,39.36020521904521,40.6043907058258,40.42133000773984,39.612374168186626,40.31455171666779
baseline,D_delay_m,6,0,6,5.408481772928025,0.2725437682032276,5.332633481225016,5.174239264160008,5.626675803439065,5.1702312584786245,5.769261313990739,5.721415257135275,5.2247537733758085,5.607770017450345
baseline,clearance_at_brake_start_m,6,0,6,34.55760065815681,0.5321269663189202,34.791317108936184,34.40373370193382,34.90570625944333,33.59094390505447,34.95365061680192,34.94223606117396,34.123913436852085,34.88820071709264
baseline,D_brake_required_m,6,0,6,25.0229267856546,1.0888327524421375,24.66625360720836,24.29865005303964,25.29301876128226,24.11395394875869,27.01304353646187,26.24302229711517,24.355645301554176,25.8827703277115
baseline,M_space_m,6,0,6,3.5346738725022093,1.6174297874672603,4.125063501727821,3.13023664675113,4.604656333746062,0.577900368592605,4.816867556787301,4.7827316085337035,2.2563266104344417,4.5476976129943925
baseline,M_time_s,6,0,6,0.22295996245809432,0.10536844925406944,0.24357454104307258,0.23129550589710046,0.2797960585156357,0.018200116788600118,0.31333818401888747,0.3013466409244302,0.13495048062237577,0.2850343140807033
baseline,final_clearance_m,6,0,6,10.43461872768399,2.15933540441802,10.623205872207993,9.426474366598816,11.762907187858211,7.047515613773142,13.143413516777443,12.581042641238907,8.760619437090178,11.932704249300238
baseline,impact_speed_mps,6,6,0,,,,,,,,,,
baseline,max_perception_gap_ms,6,0,6,166.30343596140543,27.366832984495687,159.48832035064697,152.79442071914673,165.40545225143433,141.61396026611328,219.28906440734863,192.90602207183838,149.98523394266763,188.78865242004395
baseline,sensor_to_planning_stop_ms,6,0,6,252.8220017751058,5.880064423602818,253.2815933227539,251.11091136932373,254.55498695373535,243.4988021850586,261.5032196044922,258.0370903015137,248.394779364268,256.9887638092041
baseline,control_to_effective_brake_ms,6,0,6,77.02622101772054,15.219189100069421,76.07933402746585,64.04113834762573,88.33917456756592,60.5845227993164,96.9599407167969,93.44919716149903,66.39319925195313,87.91014338069662
delay_100ms,actual_e2e_latency_ms,6,0,6,463.59384059906006,17.7144488175707,462.11349964141846,452.4489641189575,476.6124486923218,439.97716903686523,486.68599128723145,483.3359718322754,450.60038566589355,476.26181443532306
delay_100ms,measured_added_delay_ms,6,0,6,121.44887447357178,17.7144488175707,119.96853351593018,110.30399799346924,134.4674825668335,97.83220291137695,144.54102516174316,141.1910057067871,108.78090063730876,134.45965449015299
delay_100ms,D1_clear_m,6,0,6,40.20054490695903,0.8614583016236264,40.08924274712096,40.00942513537808,40.42807671384602,38.92169495160481,41.57924836168929,41.05085162194721,39.57231128296688,40.81437712269985
delay_100ms,D_delay_m,6,0,6,7.28369257875313,0.3743753121028478,7.227733632096474,6.997932896730051,7.592801924959914,6.853864084103051,7.757000116700481,7.717890778433382,7.021626812228587,7.545931748020641
delay_100ms,clearance_at_brake_start_m,6,0,6,32.9168523282059,1.0570038598137792,33.183789421391424,32.51107841341436,33.37415777918115,31.16469483490433,34.244384982348485,33.823117989850736,32.062283887244355,33.628470612478864
delay_100ms,D_brake_required_m,6,0,6,24.862012097785524,1.516783334704435,24.298695562064317,24.07366067495945,24.929445528367367,23.64092709459037,27.795409804934604,26.452825141302206,23.990135367089845,26.087409611254003
delay_100ms,M_space_m,6,0,6,2.054840230420375,2.5361366051640135,2.976207038466546,1.6352772366840949,3.155739573445164,-2.6307149700302723,4.603457887758115,3.8974892207212513,0.13794904267497068,3.590395159969683
delay_100ms,M_time_s,6,0,6,0.12255069291513897,0.16401233355439257,0.17417787537098972,0.09055566816465646,0.1879006697440063,-0.1734299710590821,0.3052218441770459,0.2482606230526696,-0.012305662936343739,0.2235788906188104
delay_100ms,final_clearance_m,6,0,6,12.072339271628124,2.2338913422165776,12.340920590332141,11.64959845108361,13.31967752840328,8.097788727724005,14.589318142286025,14.077741723754697,10.261631865911346,13.568876033982585
delay_100ms,impact_speed_mps,6,6,0,,,,,,,,,,
delay_100ms,max_perception_gap_ms,6,0,6,152.4829864501953,11.429514988147538,149.97994899749756,144.15383338928223,161.62002086639404,139.64509963989258,167.58108139038086,165.98355770111084,144.36841011047363,160.6490214665731
delay_100ms,sensor_to_planning_stop_ms,6,0,6,280.08854389190674,20.901719220556014,280.27355670928955,266.63869619369507,286.4488363265991,254.8520565032959,314.5310878753662,300.72808265686035,265.2255694071452,296.1087226867676
