run_id,group_name,collision,collision_with_target,classification,realtime_induced_collision,perception_status,prediction_status,planning_status,control_status,bridge_status,M_space_m,M_space_counterfactual_m,M_safety_6m_m,M_safety_6m_counterfactual_m,M_collision_0m_m,M_collision_0m_counterfactual_m,actual_e2e_latency_ms,evidence_summary,uncertainty,confidence_level
202607171703,baseline,False,False,SAFE_NORMAL,False,PASS,PASS,PASS,PASS,PASS,2.814552645897603,2.5962574003929126,2.814552645897603,2.5962574003929126,8.814552645897603,8.596257400392913,328.1378746032715,车辆停车或保持无碰撞，空间余量为正,,MEDIUM
202607171706,baseline,False,False,SAFE_CRITICAL,False,PASS,PASS,PASS,PASS,PASS,0.577900368592605,0.7416029904436643,0.577900368592605,0.7416029904436643,6.577900368592605,6.741602990443664,352.1990776062012,未碰撞，空间余量接近或低于零，属于临界停车或5/6m裕度失效,STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE,MEDIUM
202607171721,baseline,False,False,SAFE_NORMAL,False,PASS,PASS,PASS,PASS,PASS,4.077288649311711,3.8846315000445277,4.077288649311711,3.8846315000445277,10.077288649311711,9.884631500044527,329.87189292907715,车辆停车或保持无碰撞，空间余量为正,STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE,MEDIUM
202607171726,baseline,False,False,SAFE_NORMAL,False,PASS,PASS,PASS,PASS,PASS,4.748595660280106,4.610826255365065,4.748595660280106,4.610826255365065,10.748595660280106,10.610826255365065,333.2529067993164,车辆停车或保持无碰撞，空间余量为正,STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE,MEDIUM
202607171735,baseline,False,False,SAFE_NORMAL,False,PASS,PASS,PASS,PASS,PASS,4.172838354143931,4.310945297761685,4.172838354143931,4.310945297761685,10.17283835414393,10.310945297761686,351.03702545166016,车辆停车或保持无碰撞，空间余量为正,STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE,MEDIUM
202607171738,baseline,False,False,SAFE_NORMAL,False,PASS,PASS,PASS,PASS,PASS,4.816867556787301,5.206255853884724,4.816867556787301,5.206255853884724,10.816867556787301,11.206255853884723,367.4430847167969,车辆停车或保持无碰撞，空间余量为正,STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE,MEDIUM
202607181815,delay_100ms,False,False,SAFE_NORMAL,False,PASS,PASS,PASS,PASS,PASS,4.603457887758115,6.712646728278918,4.603457887758115,6.712646728278918,10.603457887758115,12.71264672827892,479.98595237731934,车辆停车或保持无碰撞，空间余量为正,STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE,MEDIUM
202607181818,delay_100ms,False,False,SAFE_NORMAL,False,PASS,PASS,PASS,PASS,PASS,3.191520553684388,4.983341160068306,3.191520553684388,4.983341160068306,9.191520553684388,10.983341160068306,457.7350616455078,车辆停车或保持无碰撞，空间余量为正,STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE,MEDIUM
202607181844,delay_100ms,False,False,SAFE_NORMAL,False,PASS,PASS,PASS,PASS,PASS,2.9040174442056,4.4234412743248335,2.9040174442056,4.4234412743248335,8.9040174442056,10.423441274324833,439.97716903686523,车辆停车或保持无碰撞，空间余量为正,STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE,MEDIUM
202607181854,delay_100ms,False,False,SAFE_NORMAL,False,PASS,PASS,PASS,PASS,PASS,1.2123638341769265,3.4917623601134067,1.2123638341769265,3.4917623601134067,7.2123638341769265,9.491762360113407,486.68599128723145,车辆停车或保持无碰撞，空间余量为正,STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE,MEDIUM
202607181955,delay_100ms,False,False,SAFE_CRITICAL,False,PASS,PASS,PASS,PASS,PASS,-2.6307149700302723,-0.5664406375289,-2.6307149700302723,-0.5664406375289,3.3692850299697277,5.4335593624711,466.4919376373291,未碰撞，空间余量接近或低于零，属于临界停车或5/6m裕度失效,,MEDIUM
202607181958,delay_100ms,False,False,INDETERMINATE,False,PASS,PASS,PASS,PASS,UNKNOWN,3.048396632727492,4.722498232907915,3.048396632727492,4.722498232907915,9.048396632727492,10.722498232907915,450.6869316101074,注入组缺少SCB执行记录，实际注入状态无法逐run核验,SCB_EVIDENCE_MISSING;STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE,LOW
202607182007,delay_300ms,False,False,INDETERMINATE,False,PASS,PASS,PASS,PASS,UNKNOWN,-7.859489690894232,-2.5653632587378503,-7.859489690894232,-2.5653632587378503,-1.8594896908942324,3.4346367412621497,650.256872177124,注入组缺少SCB执行记录，实际注入状态无法逐run核验,SCB_EVIDENCE_MISSING,LOW
202607182012,delay_300ms,False,False,INDETERMINATE,False,PASS,PASS,PASS,DEGRADED,PASS,,,,,,,,目标关联或有效制动时刻无法可靠确定,,LOW
202607182017,delay_300ms,False,False,INDETERMINATE,False,PASS,PASS,PASS,PASS,UNKNOWN,-2.2954368797000697,2.5353334499081743,-2.2954368797000697,2.5353334499081743,3.7045631202999303,8.535333449908174,641.8490409851074,注入组缺少SCB执行记录，实际注入状态无法逐run核验,SCB_EVIDENCE_MISSING,LOW
202607182021,delay_300ms,False,False,INDETERMINATE,False,PASS,PASS,PASS,PASS,UNKNOWN,-4.139318623103726,1.179622762224187,-4.139318623103726,1.179622762224187,1.8606813768962738,7.179622762224187,663.7599468231201,注入组缺少SCB执行记录，实际注入状态无法逐run核验,SCB_EVIDENCE_MISSING,LOW
202607182026,delay_300ms,False,False,INDETERMINATE,False,PASS,PASS,PASS,PASS,UNKNOWN,-3.7276018538013425,1.8357178969409071,-3.7276018538013425,1.8357178969409071,2.2723981461986575,7.835717896940907,682.265043258667,注入组缺少SCB执行记录，实际注入状态无法逐run核验,SCB_EVIDENCE_MISSING,LOW
202607182029,delay_300ms,False,False,INDETERMINATE,False,PASS,PASS,PASS,PASS,UNKNOWN,-2.5961388832849153,2.532285592371715,-2.5961388832849153,2.532285592371715,3.4038611167150847,8.532285592371714,656.4550399780273,注入组缺少SCB执行记录，实际注入状态无法逐run核验,SCB_EVIDENCE_MISSING,LOW
202607191727,delay_400ms,True,True,RT_ONLY_COLLISION,True,PASS,PASS,PASS,PASS,PASS,-9.626435994556196,-1.66776373047081,-9.626435994556196,-1.66776373047081,-3.6264359945561964,4.33223626952919,809.2679977416992,目标功能链完整，注入时延组发生目标碰撞，同条件baseline全部安全停车,,MEDIUM
202607191734,delay_400ms,False,False,INDETERMINATE,False,PASS,PASS,PASS,DEGRADED,PASS,,,,,,,,目标关联或有效制动时刻无法可靠确定,,LOW
202607191739,delay_400ms,True,True,TIMING_INDUCED_FUNCTIONAL_DEGRADATION,True,DEGRADED,PASS,PASS,PASS,PASS,-22.934569470005236,-5.32701861703368,-22.934569470005236,-5.32701861703368,-16.934569470005236,0.67298138296632,1332.801103591919,碰撞伴随目标关键帧感知排队，功能输出存在但实时链路显著退化,,MEDIUM
202607201555,delay_400ms,False,False,SAFE_CRITICAL,False,PASS,PASS,PASS,PASS,PASS,-6.640086304484761,2.2193173657363072,-6.640086304484761,2.2193173657363072,-0.6400863044847611,8.219317365736307,892.3580646514893,未碰撞，空间余量接近或低于零，属于临界停车或5/6m裕度失效,,MEDIUM
202607201611,delay_400ms,True,True,RT_ONLY_COLLISION,True,PASS,PASS,PASS,PASS,PASS,-14.781047294135927,-4.785444566878137,-14.781047294135927,-4.785444566878137,-8.781047294135927,1.2145554331218626,910.6249809265137,目标功能链完整，注入时延组发生目标碰撞，同条件baseline全部安全停车,,MEDIUM
