status,method,source_file,slope,intercept,median_abs_residual_ms,p95_abs_residual_ms,max_abs_residual_ms,clock_jump_detected,simulation_pause_detected,run_id,group_name,pair_count,inlier_count
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607171703,baseline,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607171706,baseline,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607171721,baseline,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607171726,baseline,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607171735,baseline,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607171738,baseline,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607181815,delay_100ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607181818,delay_100ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607181844,delay_100ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607181854,delay_100ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607181955,delay_100ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607181958,delay_100ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607182007,delay_300ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607182012,delay_300ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607182017,delay_300ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607182021,delay_300ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607182026,delay_300ms,,
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607182029,delay_300ms,,
TIME_ALIGNMENT_UNCERTAIN,robust refit of wall_time = slope * CARLA_simulation_time + intercept,D:\data\400ms\202607191727\log\carla_collision_actor_history_20260719172951.csv,1.1172032804984333,1784453100.3926733,33.58960151672363,78.84705066680908,90.96312522888184,True,False,202607191727,delay_400ms,156,156
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607191734,delay_400ms,,
TIME_ALIGNMENT_UNCERTAIN,robust refit of wall_time = slope * CARLA_simulation_time + intercept,D:\data\400ms\202607191739\log\carla_collision_actor_history_20260719174003.csv,1.1233852172065992,1784453900.6863909,15.944480895996094,38.1389856338501,77.29864120483398,False,False,202607191739,delay_400ms,156,154
LIMITED_NO_DUAL_CLOCK_HISTORY,Apollo/Localization epoch timeline; CARLA simulation mapping unavailable,,,,,,,,,202607201555,delay_400ms,,
TIME_ALIGNMENT_UNCERTAIN,robust refit of wall_time = slope * CARLA_simulation_time + intercept,D:\data\400ms\202607201611\log\carla_collision_actor_history_20260720161312.csv,1.0999157202150536,1784534904.1589448,36.419034004211426,88.89412879943848,168.66564750671387,True,False,202607201611,delay_400ms,156,154
