metric,comparison,effect,value,baseline_values,group_values
actual_e2e_latency_ms,delay_100ms_vs_baseline,Cliffs_delta_group_minus_baseline,1.0,"[328.1378746032715,352.1990776062012,329.87189292907715,333.2529067993164,351.03702545166016,367.4430847167969]","[479.98595237731934,457.7350616455078,439.97716903686523,486.68599128723145,466.4919376373291,450.6869316101074]"
actual_e2e_latency_ms,delay_300ms_vs_baseline,Cliffs_delta_group_minus_baseline,1.0,"[328.1378746032715,352.1990776062012,329.87189292907715,333.2529067993164,351.03702545166016,367.4430847167969]","[650.256872177124,641.8490409851074,663.7599468231201,682.265043258667,656.4550399780273]"
actual_e2e_latency_ms,delay_400ms_vs_baseline,Cliffs_delta_group_minus_baseline,1.0,"[328.1378746032715,352.1990776062012,329.87189292907715,333.2529067993164,351.03702545166016,367.4430847167969]","[809.2679977416992,1332.801103591919,892.3580646514893,910.6249809265137]"
D_delay_m,delay_100ms_vs_baseline,Cliffs_delta_group_minus_baseline,1.0,"[5.172561902368942,5.769261313990739,5.179271349533202,5.1702312584786245,5.485995612916829,5.673569200279811]","[7.334863379340801,7.120603884852146,6.853864084103051,7.678781440166285,7.757000116700481,6.957042567356019]"
D_delay_m,delay_300ms_vs_baseline,Cliffs_delta_group_minus_baseline,1.0,"[5.172561902368942,5.769261313990739,5.179271349533202,5.1702312584786245,5.485995612916829,5.673569200279811]","[11.08486293521656,10.404928115330803,10.981713388056498,10.860222371672322,10.532431313183926]"
D_delay_m,delay_400ms_vs_baseline,Cliffs_delta_group_minus_baseline,1.0,"[5.172561902368942,5.769261313990739,5.179271349533202,5.1702312584786245,5.485995612916829,5.673569200279811]","[13.520071559319716,23.597934755050844,14.385017750817712,15.563856945526556]"
M_space_m,delay_100ms_vs_baseline,Cliffs_delta_group_minus_baseline,-0.3888888888888889,"[2.814552645897603,0.577900368592605,4.077288649311711,4.748595660280106,4.172838354143931,4.816867556787301]","[4.603457887758115,3.191520553684388,2.9040174442056,1.2123638341769265,-2.6307149700302723,3.048396632727492]"
M_space_m,delay_300ms_vs_baseline,Cliffs_delta_group_minus_baseline,-1.0,"[2.814552645897603,0.577900368592605,4.077288649311711,4.748595660280106,4.172838354143931,4.816867556787301]","[-7.859489690894232,-2.2954368797000697,-4.139318623103726,-3.7276018538013425,-2.5961388832849153]"
M_space_m,delay_400ms_vs_baseline,Cliffs_delta_group_minus_baseline,-1.0,"[2.814552645897603,0.577900368592605,4.077288649311711,4.748595660280106,4.172838354143931,4.816867556787301]","[-9.626435994556196,-22.934569470005236,-6.640086304484761,-14.781047294135927]"
