iteration,k_median,effective_deceleration_mps2
0,0.09743346920388124,5.131706836320703
1,0.10052378788119162,4.973947068040717
2,0.10196847617955919,4.90347623827913
3,0.10196847617955919,4.90347623827913
4,0.10341316447792676,4.834974372210837
5,0.10439243669938886,4.789619016555891
6,0.10341316447792676,4.834974372210837
7,0.10196847617955919,4.90347623827913
8,0.1029477484010213,4.8568327891184815
9,0.09434315052657084,5.299801810828649
10,0.10439243669938886,4.789619016555891
11,0.10537170892085097,4.7451066811070755
12,0.10537170892085097,4.7451066811070755
13,0.10537170892085097,4.7451066811070755
14,0.09985742972371091,5.007138691466602
15,0.10439243669938886,4.789619016555891
16,0.10052378788119162,4.973947068040717
17,0.10341316447792676,4.834974372210837
18,0.10196847617955919,4.90347623827913
19,0.10341316447792676,4.834974372210837
20,0.10341316447792676,4.834974372210837
21,0.10439243669938886,4.789619016555891
22,0.1086612586513586,4.601455994580903
23,0.10196847617955919,4.90347623827913
24,0.10196847617955919,4.90347623827913
25,0.1086612586513586,4.601455994580903
26,0.10439243669938886,4.789619016555891
27,0.10537170892085097,4.7451066811070755
28,0.09265056782894879,5.396620999917654
29,0.10537170892085097,4.7451066811070755
30,0.09743346920388124,5.131706836320703
31,0.09887815750224879,5.056728529641427
32,0.09743346920388124,5.131706836320703
33,0.10196847617955919,4.90347623827913
34,0.10439243669938886,4.789619016555891
35,0.10341316447792676,4.834974372210837
36,0.10439243669938886,4.789619016555891
37,0.09434315052657084,5.299801810828649
38,0.10537170892085097,4.7451066811070755
39,0.09095798513132675,5.497043489673734
40,0.10537170892085097,4.7451066811070755
41,0.10439243669938886,4.789619016555891
42,0.10439243669938886,4.789619016555891
43,0.09985742972371091,5.007138691466602
44,0.1029477484010213,4.8568327891184815
45,0.10341316447792676,4.834974372210837
46,0.10439243669938886,4.789619016555891
47,0.10052378788119162,4.973947068040717
48,0.10052378788119162,4.973947068040717
49,0.10439243669938886,4.789619016555891
50,0.10196847617955919,4.90347623827913
51,0.10439243669938886,4.789619016555891
52,0.10537170892085097,4.7451066811070755
53,0.10341316447792676,4.834974372210837
54,0.10439243669938886,4.789619016555891
55,0.09743346920388124,5.131706836320703
56,0.10196847617955919,4.90347623827913
57,0.10196847617955919,4.90347623827913
58,0.10537170892085097,4.7451066811070755
59,0.10196847617955919,4.90347623827913
60,0.10721657035299104,4.663458254203068
61,0.10341316447792676,4.834974372210837
62,0.1029477484010213,4.8568327891184815
63,0.10052378788119162,4.973947068040717
64,0.10537170892085097,4.7451066811070755
65,0.10052378788119162,4.973947068040717
66,0.10052378788119162,4.973947068040717
67,0.09743346920388124,5.131706836320703
68,0.10341316447792676,4.834974372210837
69,0.09743346920388124,5.131706836320703
70,0.10196847617955919,4.90347623827913
71,0.09265056782894879,5.396620999917654
72,0.10537170892085097,4.7451066811070755
73,0.10196847617955919,4.90347623827913
74,0.09434315052657084,5.299801810828649
75,0.09434315052657084,5.299801810828649
76,0.09265056782894879,5.396620999917654
77,0.10537170892085097,4.7451066811070755
78,0.10341316447792676,4.834974372210837
79,0.09095798513132675,5.497043489673734
