outcome,metric,n,mean,median,min,max
safe,actual_e2e_latency_ms,18,501.69160630967883,462.11349964141846,328.1378746032715,892.3580646514893
safe,D_delay_m,18,8.022345665798042,7.227733632096474,5.1702312584786245,14.385017750817712
safe,M_safety_6m_m,18,0.34883402123702545,2.0134582400372647,-7.859489690894232,4.816867556787301
safe,M_collision_0m_m,18,6.3488340212370264,8.013458240037265,-1.8594896908942324,10.816867556787301
safe,t1_speed_mps,18,15.781281746595589,15.59622089275729,14.768547172157003,16.697465277356272
safe,D1_clear_m,18,40.09670865861612,40.134412042024614,38.92169495160481,41.57924836168929
collision,actual_e2e_latency_ms,3,1017.5646940867106,910.6249809265137,809.2679977416992,1332.801103591919
collision,D_delay_m,3,17.56062108663237,15.563856945526556,13.520071559319716,23.597934755050844
collision,M_safety_6m_m,3,-15.780684252899121,-14.781047294135927,-22.934569470005236,-9.626435994556196
collision,M_collision_0m_m,3,-9.78068425289912,-8.781047294135927,-16.934569470005236,-3.6264359945561964
collision,t1_speed_mps,3,16.33134640312571,15.993071036592054,15.665205869054772,17.33576230373031
collision,D1_clear_m,3,39.34052914443171,39.43447465712616,38.85400441001601,39.73310836615297
