source_frame_index,target_tid,perf_coverage_status,infer_duration_ms,running_ms,running_pct,blocked_ms,runnable_ms,unknown_ms,max_schedule_delay_us,p95_schedule_delay_us,kswapd0_cpu_ms,kcompactd0_cpu_ms,run_slice_count,migration_count,enter_inside_running,exit_inside_running,internal_inference_ms,cp_minus_internal_ms,enter_perf_s,exit_perf_s
626,1016506,complete,94.697937,36.875936973956414,38.940591674975664,54.67499997757841,3.1470000540139154,0.0,1359.9999947473407,503.20000154897525,62.3100000229897,0.03800001286435872,34,6,True,True,94.8582,-0.16029999999999234,75655.049120349,75655.143818286
627,1016506,complete,100.131092,32.39209197636228,32.349684129593044,56.47900002077222,11.259999999310821,0.0,9481.000000960194,474.0000003948808,6.541999988257885,0.01999999221879989,32,4,True,True,100.239,-0.10800000000000409,75655.153304131,75655.253435223
628,1016506,complete,98.513087,36.921086997608654,37.47835757007553,55.30800005362835,6.283999944571406,0.0,474.0000003948808,171.39999326900565,0.008000002708286047,0.0,141,4,True,True,98.6384,-0.12530000000000996,75655.262941324,75655.361454411
629,1016506,complete,100.335094,34.90809396316763,34.79150970133198,58.23300001793541,7.1940000198083,0.0,1559.0000111842528,212.4000049661844,0.0,0.0,96,5,True,True,100.443,-0.10800000000000409,75655.371483047,75655.471818141
630,1016506,complete,90.985507,30.617506956332363,33.65097141720821,59.094000040204264,1.2740000092890114,0.0,195.00000053085387,110.4999959352427,0.0,0.0,45,5,True,True,91.0951,-0.10960000000000036,75655.48208998,75655.573075487
631,1016506,complete,94.082153,31.269153027096763,33.23600919717843,61.291000034543686,1.5219999477267265,0.0,518.0000007385388,112.39999148529014,0.0,0.0,46,2,True,True,94.1865,-0.10429999999999495,75655.584091431,75655.678173584
632,1016506,complete,91.116709,30.06270898913499,32.99362907300579,58.92700002004858,2.1269999851938337,0.0,927.9999940190464,280.94999943277713,0.0,0.008999995770864189,31,4,True,True,91.2161,-0.09940000000000282,75655.687945736,75655.779062445
633,1016506,complete,89.043019,29.602018985315226,33.24462637967913,59.16900001466274,0.2720000047702342,0.0,56.0000044060871,41.09999426873398,0.0,0.0,24,3,True,True,89.1397,-0.09669999999999845,75655.788187677,75655.877230696
634,1016506,complete,92.03384,30.567839989089407,33.213696166698796,60.477000020910054,0.9889999928418547,0.0,190.99999917671084,97.90000185603282,0.0,0.0,40,7,True,True,92.1368,-0.10299999999999443,75655.886256279,75655.978290119
635,1016506,complete,92.549846,31.105846021091565,33.609830125125946,57.998000003863126,3.445999973337166,0.0,3098.0000010458753,284.1000023181571,0.0,0.0,21,1,True,True,92.6704,-0.12059999999999604,75655.98761385,75656.080163696
636,1016506,complete,89.243789,29.483788981451653,33.03735678629484,58.837000047788024,0.9229999704984948,0.0,477.00000868644565,242.1499979391227,0.0,0.0,23,2,True,True,89.3362,-0.09240000000001203,75656.090406351,75656.17965014
637,1016506,complete,90.368059,30.72705895465333,34.002123422045116,58.571000015945174,1.0700000275392085,0.0,470.9999921033159,177.20000396366225,0.0,0.008000002708286047,25,5,True,True,90.4766,-0.10850000000000648,75656.188816269,75656.279184328
638,1016504,complete,94.970804,35.73080399655737,37.622935146447865,48.64399999496527,10.596000007353723,0.0,6736.999988788739,481.9000052521002,0.0,0.0,55,3,True,True,95.1502,-0.17940000000000111,75656.301881504,75656.396852308
639,1016504,complete,90.435644,29.773643997032195,32.92246583841061,58.69499999971595,1.9669999892357737,0.0,1128.9999965811148,93.05000858148549,0.0,0.0,41,3,True,True,90.5357,-0.10010000000001185,75656.410486588,75656.500922232
641,1016504,complete,86.677997,29.1829969646642,33.668287196865435,56.66200001724064,0.8330000127898529,0.0,104.9999991664663,100.49999400507659,0.0,0.0,32,0,True,True,86.8009,-0.12290000000000134,75656.515953682,75656.602631679
642,1016504,complete,87.656473,29.591473037726246,33.758457333933016,57.10900001577102,0.9559999452903867,0.0,421.00000428035855,101.3500004773959,0.0,0.0,29,3,True,True,87.7528,-0.09629999999999939,75656.614897975,75656.702554448
643,1016507,complete,86.702958,31.260958014172502,36.05523817923783,55.06599998625461,0.37599999632220715,0.0,148.99999951012433,67.39999662386239,0.0,0.007000009645707905,19,0,True,True,86.8153,-0.11229999999999052,75656.717708843,75656.804411801
644,1016507,complete,85.905636,29.66263602138497,34.52932473410866,55.717999988701195,0.5249999958323315,0.0,63.99999256245792,59.300005523255095,0.0,0.0,29,1,True,True,86.0101,-0.10449999999998738,75656.816388461,75656.902294097
645,1016507,complete,86.272905,30.32690502004698,35.152293782771174,55.62400000053458,0.32199997804127634,0.0,53.00001066643745,40.09999393019824,0.0,0.0,25,3,True,True,86.4215,-0.14859999999998763,75656.914712554,75657.000985459
646,1016507,complete,85.506431,31.78043097432237,37.16729911658805,53.46600002667401,0.26000000070780516,0.0,44.00000034365803,35.45000436133705,0.0,0.0,21,2,True,True,85.6343,-0.1278999999999968,75657.010725323,75657.096231754
