record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,throttle,brake,steering_target,steering_rate,speed_target,acceleration_target,gear_location
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396600594111,1783598396.6005943,/apollo/control,apollo.control.ControlCommand,1783598396.600253,8821,8821,control,1783598396383109799,0,0,24.007810111335147,0.0,-0.8155439050473998,100.0,0.0,1.7853441995330301,GEAR_DRIVE
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396610990571,1783598396.6109905,/apollo/control,apollo.control.ControlCommand,1783598396.6105134,8822,8822,control,1783598396383109799,0,0,24.23523401119121,0.0,-0.822091986122162,100.0,0.0,1.8438989388445988,GEAR_DRIVE
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396620651533,1783598396.6206515,/apollo/control,apollo.control.ControlCommand,1783598396.6202521,8823,8823,control,1783598396383109799,0,0,24.239518427359464,0.0,-0.8274842390815151,100.0,0.0,1.8450020457387877,GEAR_DRIVE
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396630801557,1783598396.6308017,/apollo/control,apollo.control.ControlCommand,1783598396.6302843,8824,8824,control,1783598396383109799,0,0,24.46730403329782,0.0,-0.831006635719282,100.0,0.0,1.903649913368751,GEAR_DRIVE
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396640763067,1783598396.640763,/apollo/control,apollo.control.ControlCommand,1783598396.6404436,8825,8825,control,1783598396483030737,0,0,24.474378088435802,0.0,-0.8328583661276211,100.0,0.0,1.9054712674777174,GEAR_DRIVE
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396650593823,1783598396.6505938,/apollo/control,apollo.control.ControlCommand,1783598396.6503332,8826,8826,control,1783598396483030737,0,0,24.708650711015537,0.0,-0.8335749686187728,100.0,0.0,1.9657893446528776,GEAR_DRIVE
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396660492516,1783598396.6604927,/apollo/control,apollo.control.ControlCommand,1783598396.6602259,8827,8827,control,1783598396483030737,0,0,24.713667196407936,0.0,-0.8336504001601985,100.0,0.0,1.967080937113469,GEAR_DRIVE
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396670651724,1783598396.6706517,/apollo/control,apollo.control.ControlCommand,1783598396.6703658,8828,8828,control,1783598396483030737,0,0,24.94831021764266,0.0,-0.8334345996997085,100.0,0.0,2.0274943806801913,GEAR_DRIVE
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396680748884,1783598396.6807487,/apollo/control,apollo.control.ControlCommand,1783598396.680393,8829,8829,control,1783598396483030737,0,0,24.953697101690047,0.0,-0.833150496619684,100.0,0.0,2.0288813395323437,GEAR_DRIVE
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396690504983,1783598396.690505,/apollo/control,apollo.control.ControlCommand,1783598396.6902547,8830,8830,control,1783598396483030737,0,0,24.162864451482825,0.0,-0.8331044308304857,100.0,0.0,1.8264536491556371,GEAR_DRIVE
