record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,point_kind,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,input_trajectory_header_timestamp_sec,input_trajectory_header_sequence_num,input_trajectory_header_module_name,input_trajectory_header_lidar_timestamp,input_trajectory_header_camera_timestamp,input_trajectory_header_radar_timestamp,latest_replan_trajectory_header_timestamp_sec,latest_replan_trajectory_header_sequence_num,latest_replan_trajectory_header_module_name,latest_replan_trajectory_header_lidar_timestamp,latest_replan_trajectory_header_camera_timestamp,latest_replan_trajectory_header_radar_timestamp,input_localization_header_timestamp_sec,input_localization_header_sequence_num,input_localization_header_module_name,input_localization_header_lidar_timestamp,input_localization_header_camera_timestamp,input_localization_header_radar_timestamp,input_canbus_header_timestamp_sec,input_canbus_header_sequence_num,input_canbus_header_module_name,input_canbus_header_lidar_timestamp,input_canbus_header_camera_timestamp,input_canbus_header_radar_timestamp,point_relative_time,point_s,point_x,point_y,point_z,point_theta,point_kappa,point_dkappa,point_ddkappa,point_v,point_a,point_da,point_steer,planning_seq_used,nearest_planning_point_index,nearest_distance_m,nearest_planning_kappa
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396620651533,1783598396.6206515,/apollo/control,apollo.control.ControlCommand,1783598396.6202521,8823,8823,lon_preview_reference_point,control,1783598396383109799,0,0,1783598396.546933,469,planning,1783598396383109799,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.586064,886,localization,0,0,0,1783598396.5830665,0,carla_bridge,0,0,0,0.0,0.0,109.55333897025035,-133.0048146137453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469,34,0.0,-0.00109110056153168
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396620651533,1783598396.6206515,/apollo/control,apollo.control.ControlCommand,1783598396.6202521,8823,8823,lat_current_target_point,control,1783598396383109799,0,0,1783598396.546933,469,planning,1783598396383109799,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.586064,886,localization,0,0,0,1783598396.5830665,0,carla_bridge,0,0,0,0.0,0.0,110.70349219451164,-133.00772334774317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469,56,0.010736051024115251,-0.0010436550594927554
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396630801557,1783598396.6308017,/apollo/control,apollo.control.ControlCommand,1783598396.6302843,8824,8824,lon_current_matched_point,control,1783598396383109799,0,0,1783598396.546933,469,planning,1783598396383109799,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.586064,886,localization,0,0,0,1783598396.5830665,0,carla_bridge,0,0,0,0.0,0.0,109.2661011766583,-133.0039339485816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469,28,0.014996014246911575,-0.0010862339452501727
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396630801557,1783598396.6308017,/apollo/control,apollo.control.ControlCommand,1783598396.6302843,8824,8824,lon_current_reference_point,control,1783598396383109799,0,0,1783598396.546933,469,planning,1783598396383109799,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.586064,886,localization,0,0,0,1783598396.5830665,0,carla_bridge,0,0,0,0.0,0.0,109.14963427712158,-133.00357686346453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469,25,0.0,-0.001083883905335194
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396630801557,1783598396.6308017,/apollo/control,apollo.control.ControlCommand,1783598396.6302843,8824,8824,lon_preview_reference_point,control,1783598396383109799,0,0,1783598396.546933,469,planning,1783598396383109799,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.586064,886,localization,0,0,0,1783598396.5830665,0,carla_bridge,0,0,0,0.0,0.0,109.59948895882373,-133.0049561086605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469,35,0.0,-0.0010919255422828938
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396630801557,1783598396.6308017,/apollo/control,apollo.control.ControlCommand,1783598396.6302843,8824,8824,lat_current_target_point,control,1783598396383109799,0,0,1783598396.546933,469,planning,1783598396383109799,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.586064,886,localization,0,0,0,1783598396.5830665,0,carla_bridge,0,0,0,0.0,0.0,110.70349219451164,-133.00772334774317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469,56,0.010736051024115251,-0.0010436550594927554
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396640763067,1783598396.640763,/apollo/control,apollo.control.ControlCommand,1783598396.6404436,8825,8825,lon_current_matched_point,control,1783598396483030737,0,0,1783598396.6334932,470,planning,1783598396483030737,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.586064,886,localization,0,0,0,1783598396.5830665,0,carla_bridge,0,0,0,0.0,0.0,109.2661004745893,-133.00393396342082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470,24,0.014996716267126904,-0.0010862339452501727
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396640763067,1783598396.640763,/apollo/control,apollo.control.ControlCommand,1783598396.6404436,8825,8825,lon_current_reference_point,control,1783598396483030737,0,0,1783598396.6334932,470,planning,1783598396483030737,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.586064,886,localization,0,0,0,1783598396.5830665,0,carla_bridge,0,0,0,0.0,0.0,109.14963427712158,-133.00357686346453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470,21,0.0,-0.001083883905335194
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396640763067,1783598396.640763,/apollo/control,apollo.control.ControlCommand,1783598396.6404436,8825,8825,lon_preview_reference_point,control,1783598396483030737,0,0,1783598396.6334932,470,planning,1783598396483030737,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.586064,886,localization,0,0,0,1783598396.5830665,0,carla_bridge,0,0,0,0.0,0.0,109.60134164469889,-133.00501662960005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470,31,0.0,-0.0010859733229369702
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396640763067,1783598396.640763,/apollo/control,apollo.control.ControlCommand,1783598396.6404436,8825,8825,lat_current_target_point,control,1783598396483030737,0,0,1783598396.6334932,470,planning,1783598396483030737,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.586064,886,localization,0,0,0,1783598396.5830665,0,carla_bridge,0,0,0,0.0,0.0,110.70349219451164,-133.00772334774317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470,52,0.009376222452631668,-0.001044747247177464
