record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,lon_station_reference,lon_station_error,lon_preview_station_error,lon_speed_reference,lon_speed_error,lon_preview_speed_reference,lon_preview_speed_error,lon_acceleration_reference,lon_acceleration_cmd,lon_current_speed,lon_current_acceleration,lon_current_station,lon_path_remain,lon_throttle_cmd,lon_brake_cmd,lon_slope_offset
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396600594111,1783598396.6005943,/apollo/control,apollo.control.ControlCommand,1783598396.600253,8821,8821,control,1783598396383109799,0,0,-0.08309131880979612,-0.1995582582090783,0.24108945170180618,2.088464473784214,0.37657453062165236,2.3189713229609596,0.6070813797983978,1.1343110596241226,1.7853441995330301,1.7118880656966697,0.0022643271998112296,0.1164669393992822,32.56282332475456,24.007810111335147,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396610990571,1783598396.6109905,/apollo/control,apollo.control.ControlCommand,1783598396.6105134,8822,8822,control,1783598396383109799,0,0,-0.04154565940489807,-0.15801259880418028,0.2872396571849342,2.1111947609863364,0.3993048178237746,2.3422791358758674,0.6303891927133056,1.1299045023883343,1.8438989388445988,1.7118880656966697,0.0022643271998112296,0.1164669393992822,32.56282332475456,24.23523401119121,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396620651533,1783598396.6206515,/apollo/control,apollo.control.ControlCommand,1783598396.6202521,8823,8823,control,1783598396383109799,0,0,-0.04154565940489807,-0.15801259880418028,0.2872396571849342,2.1111947609863364,0.3993048178237746,2.3422791358758674,0.6303891927133056,1.1299045023883343,1.8450020457387877,1.7118880656966697,0.0022643271998112296,0.1164669393992822,32.56282332475456,24.239518427359464,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396630801557,1783598396.6308017,/apollo/control,apollo.control.ControlCommand,1783598396.6302843,8824,8824,control,1783598396383109799,0,0,6.001463528768738e-09,-0.11646693339781866,0.33338986266806225,2.133925052011204,0.42203510884864204,2.365586948790775,0.653697005628213,1.1254979454972194,1.903649913368751,1.7118880656966697,0.0022643271998112296,0.1164669393992822,32.56282332475456,24.46730403329782,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396640763067,1783598396.640763,/apollo/control,apollo.control.ControlCommand,1783598396.6404436,8825,8825,control,1783598396483030737,0,0,-0.17528461492019248,-0.11646542933967521,0.3352396614507548,2.133925052011204,0.4220351088780512,2.365258991851908,0.6533690487187553,1.1254979454972194,1.9054712674777174,1.7118880656983286,0.0022643271998134236,-0.05881918558051727,33.145227785512255,24.474378088435802,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396650593823,1783598396.6505938,/apollo/control,apollo.control.ControlCommand,1783598396.6503332,8826,8826,control,1783598396483030737,0,0,-0.13146346119014435,-0.07264427560962708,0.38323721026661994,2.1569496184522103,0.44505967531905766,2.388211403539387,0.6763214604062342,1.135790081155729,1.9657893446528776,1.7118880656983286,0.0022643271998134236,-0.05881918558051727,33.145227785512255,24.708650711015537,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396660492516,1783598396.6604927,/apollo/control,apollo.control.ControlCommand,1783598396.6602259,8827,8827,control,1783598396483030737,0,0,-0.13146346119014435,-0.07264427560962708,0.38323721026661994,2.1569496184522103,0.44505967531905766,2.388211403539387,0.6763214604062342,1.135790081155729,1.967080937113469,1.7118880656983286,0.0022643271998134236,-0.05881918558051727,33.145227785512255,24.713667196407936,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396670651724,1783598396.6706517,/apollo/control,apollo.control.ControlCommand,1783598396.6703658,8828,8828,control,1783598396483030737,0,0,-0.08764230746009624,-0.028823121879578972,0.4312347590824851,2.1799741848932173,0.4680842417600646,2.4111638152268653,0.6992738720937126,1.1460822168142388,2.0274943806801913,1.7118880656983286,0.0022643271998134236,-0.05881918558051727,33.145227785512255,24.94831021764266,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396680748884,1783598396.6807487,/apollo/control,apollo.control.ControlCommand,1783598396.680393,8829,8829,control,1783598396483030737,0,0,-0.08764230746009624,-0.028823121879578972,0.4312347590824851,2.1799741848932173,0.4680842417600646,2.4111638152268653,0.6992738720937126,1.1460822168142388,2.0288813395323437,1.7118880656983286,0.0022643271998134236,-0.05881918558051727,33.145227785512255,24.953697101690047,0.0,
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396690504983,1783598396.690505,/apollo/control,apollo.control.ControlCommand,1783598396.6902547,8830,8830,control,1783598396483030737,0,0,-0.04382115373004811,-0.16240661222475253,0.3018276638231284,2.2029987513342237,0.3953183938633502,2.434116226914344,0.6264358694434706,1.1563743524727488,1.8264536491556371,1.807678169759494,-0.0077061571294496445,0.11858545849470442,32.96782314143703,24.162864451482825,0.0,
