record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,input_trajectory_header_timestamp_sec,input_trajectory_header_sequence_num,input_trajectory_header_module_name,input_trajectory_header_lidar_timestamp,input_trajectory_header_camera_timestamp,input_trajectory_header_radar_timestamp,latest_replan_trajectory_header_timestamp_sec,latest_replan_trajectory_header_sequence_num,latest_replan_trajectory_header_module_name,latest_replan_trajectory_header_lidar_timestamp,latest_replan_trajectory_header_camera_timestamp,latest_replan_trajectory_header_radar_timestamp,input_localization_header_timestamp_sec,input_localization_header_sequence_num,input_localization_header_module_name,input_localization_header_lidar_timestamp,input_localization_header_camera_timestamp,input_localization_header_radar_timestamp,input_canbus_header_timestamp_sec,input_canbus_header_sequence_num,input_canbus_header_module_name,input_canbus_header_lidar_timestamp,input_canbus_header_camera_timestamp,input_canbus_header_radar_timestamp
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396710996363,1783598396.7109964,/apollo/control,apollo.control.ControlCommand,1783598396.7107558,8832,8832,control,1783598396483030737,0,0,1783598396.6334932,470,planning,1783598396483030737,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.6861897,887,localization,0,0,0,1783598396.683093,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396720670605,1783598396.7206707,/apollo/control,apollo.control.ControlCommand,1783598396.720378,8833,8833,control,1783598396483030737,0,0,1783598396.6334932,470,planning,1783598396483030737,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.6861897,887,localization,0,0,0,1783598396.683093,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396730591058,1783598396.730591,/apollo/control,apollo.control.ControlCommand,1783598396.7303054,8834,8834,control,1783598396483030737,0,0,1783598396.6334932,470,planning,1783598396483030737,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.6861897,887,localization,0,0,0,1783598396.683093,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396740875708,1783598396.7408757,/apollo/control,apollo.control.ControlCommand,1783598396.740629,8835,8835,control,1783598396583066288,0,0,1783598396.73107,471,planning,1783598396583066288,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.6861897,887,localization,0,0,0,1783598396.683093,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396750710912,1783598396.7507107,/apollo/control,apollo.control.ControlCommand,1783598396.7504718,8836,8836,control,1783598396583066288,0,0,1783598396.73107,471,planning,1783598396583066288,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.6861897,887,localization,0,0,0,1783598396.683093,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396760522948,1783598396.760523,/apollo/control,apollo.control.ControlCommand,1783598396.7602754,8837,8837,control,1783598396583066288,0,0,1783598396.73107,471,planning,1783598396583066288,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.6861897,887,localization,0,0,0,1783598396.683093,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396770607243,1783598396.7706075,/apollo/control,apollo.control.ControlCommand,1783598396.7703276,8838,8838,control,1783598396583066288,0,0,1783598396.73107,471,planning,1783598396583066288,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.6861897,887,localization,0,0,0,1783598396.683093,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396780850261,1783598396.7808502,/apollo/control,apollo.control.ControlCommand,1783598396.780616,8839,8839,control,1783598396583066288,0,0,1783598396.73107,471,planning,1783598396583066288,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.6861897,887,localization,0,0,0,1783598396.683093,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396793791619,1783598396.7937918,/apollo/control,apollo.control.ControlCommand,1783598396.7902193,8840,8840,control,1783598396583066288,0,0,1783598396.73107,471,planning,1783598396583066288,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396800625791,1783598396.8006256,/apollo/control,apollo.control.ControlCommand,1783598396.8002968,8841,8841,control,1783598396583066288,0,0,1783598396.73107,471,planning,1783598396583066288,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396810678278,1783598396.8106782,/apollo/control,apollo.control.ControlCommand,1783598396.8103535,8842,8842,control,1783598396583066288,0,0,1783598396.73107,471,planning,1783598396583066288,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396820702892,1783598396.820703,/apollo/control,apollo.control.ControlCommand,1783598396.8203516,8843,8843,control,1783598396583066288,0,0,1783598396.73107,471,planning,1783598396583066288,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396831371068,1783598396.831371,/apollo/control,apollo.control.ControlCommand,1783598396.8310807,8844,8844,control,1783598396683093080,0,0,1783598396.8278713,472,planning,1783598396683093080,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396842490769,1783598396.842491,/apollo/control,apollo.control.ControlCommand,1783598396.8423028,8845,8845,control,1783598396683093080,0,0,1783598396.8278713,472,planning,1783598396683093080,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396850406844,1783598396.850407,/apollo/control,apollo.control.ControlCommand,1783598396.8502038,8846,8846,control,1783598396683093080,0,0,1783598396.8278713,472,planning,1783598396683093080,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396860594020,1783598396.860594,/apollo/control,apollo.control.ControlCommand,1783598396.8603024,8847,8847,control,1783598396683093080,0,0,1783598396.8278713,472,planning,1783598396683093080,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396870334055,1783598396.870334,/apollo/control,apollo.control.ControlCommand,1783598396.8701117,8848,8848,control,1783598396683093080,0,0,1783598396.8278713,472,planning,1783598396683093080,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396880328174,1783598396.8803282,/apollo/control,apollo.control.ControlCommand,1783598396.8801072,8849,8849,control,1783598396683093080,0,0,1783598396.8278713,472,planning,1783598396683093080,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396890364660,1783598396.8903646,/apollo/control,apollo.control.ControlCommand,1783598396.8901138,8850,8850,control,1783598396683093080,0,0,1783598396.8278713,472,planning,1783598396683093080,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.8863,889,localization,0,0,0,1783598396.8831332,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396900419067,1783598396.900419,/apollo/control,apollo.control.ControlCommand,1783598396.9002385,8851,8851,control,1783598396683093080,0,0,1783598396.8278713,472,planning,1783598396683093080,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.8863,889,localization,0,0,0,1783598396.8831332,0,carla_bridge,0,0,0
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396910491875,1783598396.910492,/apollo/control,apollo.control.ControlCommand,1783598396.9101732,8852,8852,control,1783598396683093080,0,0,1783598396.8278713,472,planning,1783598396683093080,0,0,1783598394.3171232,447,planning,1783598394182798690,0,0,1783598396.8863,889,localization,0,0,0,1783598396.8831332,0,carla_bridge,0,0,0
