group_name,n_total,n_included_main_analysis,n_excluded,n_collision_data_observed,collision_rate_data_observed,bridge_delay_actual_wall_median_data_observed_ms,bridge_delay_actual_wall_p90_data_observed_ms,T_e2e_median_data_observed_ms,T_e2e_p90_data_observed_ms,D_response_wall_integral_median_data_observed_m,D_response_wall_integral_p90_data_observed_m,D2_clear_median_data_observed_m,data_derived_contact_deadline_available_count,data_derived_contact_deadline_miss_count,data_derived_6m_deadline_miss_count,record_profile_available_count
baseline,7,7,0,0,0.0,0.069502,7.767594000000007,300.3580570220947,399.68762397766113,5.284453642764105,6.963633815258038,33.4895676691598,7,0,7,0
delay_300ms,5,4,1,2,0.5,300.12364049999996,300.2666875,749.9014139175415,865.5998468399048,12.7156842848947,14.844993331403614,26.346814466407107,2,0,2,0
