run_id,group_name,model_name,model_version,baseline_reference_effective_deceleration_model_mps2,model_inputs_and_provenance,tau_dynamic_model_predicted_ms,tau_dynamic_safety_6m_model_predicted_ms,timing_slack_model_predicted_ms,timing_slack_safety_6m_model_predicted_ms,deadline_miss_model_predicted,t_deadline_model_predicted_s,D_brake_model_predicted_m,D_distance_debt_model_predicted_m,M_collision_0m_model_predicted_m,M_safety_model_predicted_m,collision_model_predicted,impact_speed_model_predicted_mps,outcome_data_observed_comparator,D_brake_data_observed_comparator_m,D_brake_signed_error_model_minus_observed_m,D_brake_absolute_error_model_m,D_brake_relative_error_model,impact_speed_data_observed_comparator_mps,impact_speed_signed_error_model_minus_observed_mps,impact_speed_absolute_error_model_mps,compatible_observed_comparator,assumptions_and_scope_note
202607271031,baseline,baseline_median_effective_deceleration,v1.0,5.102199084358825,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",1056.3206244296296,672.2757213946527,756.6656637973053,372.6207607623285,False,1785119532.8876266,23.388109716799534,0.0,11.829592798801706,5.8295927988017056,False,0.0,safe_stop,29.88004233512493,-6.4919326183253965,6.4919326183253965,-0.21726651339760403,,,,full-stop D_brake and M0,"Descriptive baseline-calibrated constant-effective-deceleration model; baseline fit is in-sample, not cross-validated; not an observed outcome; deadline is derived independently of measured reaction time."
202607271048,baseline,baseline_median_effective_deceleration,v1.0,5.102199084358825,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",498.52166905215006,151.51109064946726,198.16361203005533,-148.84696637262746,False,1785120539.7341845,30.12427476177798,0.0,3.365292907381818,-2.634707092618182,False,0.0,safe_stop,30.01877001652626,0.10550474525171794,0.10550474525171794,0.0035146258555441914,,,,full-stop D_brake and M0,"Descriptive baseline-calibrated constant-effective-deceleration model; baseline fit is in-sample, not cross-validated; not an observed outcome; deadline is derived independently of measured reaction time."
202607271054,baseline,baseline_median_effective_deceleration,v1.0,5.102199084358825,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",465.2471517441111,127.68495814705922,165.27032602999975,-172.29186756705212,False,1785120896.9129722,31.362002831959998,0.0,2.9024071098230166,-3.0975928901769834,False,0.0,safe_stop,31.52473759610576,-0.16273476414576038,0.16273476414576038,-0.005162129062919241,,,,full-stop D_brake and M0,"Descriptive baseline-calibrated constant-effective-deceleration model; baseline fit is in-sample, not cross-validated; not an observed outcome; deadline is derived independently of measured reaction time."
202607271059,baseline,baseline_median_effective_deceleration,v1.0,5.102199084358825,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",566.5569909545137,217.96679917770717,166.8069966765596,-181.78319510024693,False,1785121210.086525,30.403186921446377,0.0,2.74600238786838,-3.25399761213162,False,0.0,safe_stop,30.403186921446377,0.0,0.0,0.0,,,,full-stop D_brake and M0,"Descriptive baseline-calibrated constant-effective-deceleration model; baseline fit is in-sample, not cross-validated; not an observed outcome; deadline is derived independently of measured reaction time."
202607271104,baseline,baseline_median_effective_deceleration,v1.0,5.102199084358825,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",578.0343841823385,226.38323165741457,178.38834040487268,-173.26281212005125,False,1785121483.3435864,28.920983832937814,0.0,2.9270322255288512,-3.0729677744711488,False,0.0,safe_stop,27.87996053113957,1.0410233017982442,1.0410233017982442,0.03733948262356788,,,,full-stop D_brake and M0,"Descriptive baseline-calibrated constant-effective-deceleration model; baseline fit is in-sample, not cross-validated; not an observed outcome; deadline is derived independently of measured reaction time."
202607271108,baseline,baseline_median_effective_deceleration,v1.0,5.102199084358825,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",485.08364205677634,140.87528725872573,184.44258218128806,-159.76577261676255,False,1785121756.4777966,30.30384604849563,0.0,3.171186122424828,-2.828813877575172,False,0.0,safe_stop,29.962679853465307,0.341166195030322,0.341166195030322,0.011386371202403135,,,,full-stop D_brake and M0,"Descriptive baseline-calibrated constant-effective-deceleration model; baseline fit is in-sample, not cross-validated; not an observed outcome; deadline is derived independently of measured reaction time."
202607271113,baseline,baseline_median_effective_deceleration,v1.0,5.102199084358825,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",510.5696521203918,162.04054231940702,210.77354768923948,-137.75556211174532,False,1785122030.8072615,30.027929538393305,0.0,3.5582965541214016,-2.4417034458785984,False,0.0,safe_stop,30.235574267164203,-0.207644728770898,0.207644728770898,-0.00686756358374843,,,,full-stop D_brake and M0,"Descriptive baseline-calibrated constant-effective-deceleration model; baseline fit is in-sample, not cross-validated; not an observed outcome; deadline is derived independently of measured reaction time."
202607271131,delay_300ms,baseline_median_effective_deceleration,v1.0,5.102199084358825,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",512.2701616920314,139.140226178221,-287.3657254539647,-660.495660967775,True,1785123122.4578953,30.020804491287965,5.01801401715007,-5.194626781050832,-11.194626781050832,True,7.280662058612993,collision,,,,,7.988017222183252,-0.7073551635702593,0.7073551635702593,collision impact speed,"Descriptive baseline-calibrated constant-effective-deceleration model; baseline fit is in-sample, not cross-validated; not an observed outcome; deadline is derived independently of measured reaction time."
202607271202,delay_300ms,baseline_median_effective_deceleration,v1.0,5.102199084358825,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",696.801893842447,331.06542829333654,-2.352959978353738,-368.08942552746424,True,1785124952.29174,28.18528306035882,0.03991041048348326,-0.31783183778173907,-6.317831837781739,True,1.8009116089969983,safe_stop,27.31945200879674,0.8658310515620791,0.8658310515620791,0.031692841103960846,,,,full-stop D_brake and M0,"Descriptive baseline-calibrated constant-effective-deceleration model; baseline fit is in-sample, not cross-validated; not an observed outcome; deadline is derived independently of measured reaction time."
202607271206,delay_300ms,baseline_median_effective_deceleration,v1.0,5.102199084358825,"v2 and D_brake from baseline full-stop runs [202607271031,202607271048,202607271054,202607271059,202607271104,202607271108,202607271113]; run-specific D1, v1, v2 and observed wall-clock t1/t2",652.1970361625639,295.1960794089564,-148.5560804451021,-505.5570371987096,True,1785125228.371159,28.828592942276234,2.575092682811252,-2.7798333676267504,-8.77983336762675,True,5.326023519094769,uncertain_geometry_event_conflict,27.684571965629623,1.1440209766466118,1.1440209766466118,0.04132341211801696,,,,full-stop D_brake and M0,"Descriptive baseline-calibrated constant-effective-deceleration model; baseline fit is in-sample, not cross-validated; not an observed outcome; deadline is derived independently of measured reaction time."
