role,actor_id,actor_type,role_name,carla_frame,carla_timestamp_sec,wall_time_unix_ns,location_x,location_y,location_z,rotation_yaw,velocity_x,velocity_y,velocity_z
ego,197,vehicle.lincoln.mkz_2017,hero,1521,152.6769814712461,1783690722892891629,247.32443237304688,133.48081970214844,0.03387204930186272,0.1521855592727661,2.3340203762054443,0.005433140322566032,-1.077651972991589e-06
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,1521,152.6769814712461,1783690722892891629,265.4961853027344,133.489013671875,-0.004698505159467459,-0.1152954027056694,-1.3822941582475323e-06,1.1892617379771764e-07,-4.0054320038507285e-07
ego,197,vehicle.lincoln.mkz_2017,hero,1522,152.77698147273622,1783690722992359427,247.55023193359375,133.48133850097656,0.033963870257139206,0.1498204916715622,2.194223165512085,0.005008008796721697,-7.24792471373803e-07
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,1522,152.77698147273622,1783690722992359427,265.4962158203125,133.489013671875,-0.0046995352022349834,-0.1152954027056694,-3.4841175420297077e-06,-8.699460352090682e-08,-5.722045557376987e-07
ego,197,vehicle.lincoln.mkz_2017,hero,1523,152.87698147422634,1783690723092607699,247.76531982421875,133.4818572998047,0.033984240144491196,0.14753037691116333,2.1098897457122803,0.004720160737633705,-1.325607286162267e-06
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,1523,152.87698147422634,1783690723092607699,265.4962158203125,133.489013671875,-0.0046995352022349834,-0.1152954027056694,-2.9533382530644303e-06,-3.944665039057327e-08,-1.220703097715159e-06
ego,197,vehicle.lincoln.mkz_2017,hero,1524,152.97698147571646,1783690723192525831,247.97421264648438,133.48236083984375,0.03395078703761101,0.14528651535511017,2.062256097793579,0.004530437756329775,-1.182556161438697e-06
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,1524,152.97698147571646,1783690723192525831,265.4962158203125,133.489013671875,-0.0046995352022349834,-0.1152954027056694,-2.1164919417060446e-06,-2.2720990955349407e-07,-1.3351440202313825e-06
ego,197,vehicle.lincoln.mkz_2017,hero,1525,153.07698147720657,1783690723292203291,248.17947387695312,133.4828643798828,0.03390371426939964,0.1430761069059372,2.033051013946533,0.004387644585222006,-1.0681152389224735e-06
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,1525,153.07698147720657,1783690723292203291,265.4962158203125,133.489013671875,-0.0046995352022349834,-0.1152954027056694,-1.450422928428452e-06,2.2142761224586138e-07,-1.716613724056515e-06
ego,197,vehicle.lincoln.mkz_2017,hero,1526,153.1769814786967,1783690723392046490,248.37869262695312,133.48326110839844,0.033912982791662216,0.14091530442237854,1.9251296520233154,0.004071933217346668,-6.675720101156912e-07
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,1526,153.1769814786967,1783690723392046490,265.4962158203125,133.489013671875,-0.0046995352022349834,-0.1152954027056694,-7.556090508842317e-07,-1.2007035365968477e-07,-5.81741346650233e-07
ego,197,vehicle.lincoln.mkz_2017,hero,1527,153.2769814801868,1783690723491953779,248.56475830078125,133.48362731933594,0.03397092595696449,0.1369759440422058,1.803789496421814,0.002973318099975586,-1.058578504853358e-06
other,214,vehicle.lincoln.mkz_2020,npc_vehicle_9,1527,153.2769814801868,1783690723491953779,265.4962158203125,133.489013671875,-0.004700565245002508,-0.1152954027056694,-6.516028179248678e-07,8.518822980363439e-09,-5.912780807193485e-07
ego,197,vehicle.lincoln.mkz_2017,hero,1528,153.37698148167692,1783690723591890461,248.74269104003906,133.48394775390625,0.033959101885557175,0.1331695020198822,1.7523565292358398,0.002909008413553238,1.8310546465727384e-06
