frame_index,input_seq,callback_tid,execution_ms,callback_running_ms,callback_blocked_ms,callback_runnable_ms,unknown_ms,stack_samples_all_frame_tids,stack_samples_callback,sched_context_events
888,1523,1645396,269.13104,13.577039586380124,253.18500015418977,2.369000227190554,0.0,14,1,2213
854,1489,1645397,216.825664,11.600664118304849,200.69800014607608,4.526999779045582,0.0,16,2,2268
852,1487,1645397,162.441504,12.461504200473428,139.23199975397438,10.748000117018819,0.0,15,1,2448
925,1561,1645396,162.327168,11.53016765601933,149.65899987146258,1.1380003998056054,0.0,16,1,2768
889,1525,1645396,161.417952,14.912951737642288,142.52200000919402,3.9830002933740616,0.0,9,1,2261
809,1444,1645387,160.166976,11.176976142451167,147.0389999449253,1.9509999547153711,0.0,12,0,2901
887,1522,1645396,159.257024,11.958023998886347,145.15599992591888,2.1430000197142363,0.0,13,2,1853
824,1459,1645390,158.683744,11.634744121693075,139.9029999738559,7.145999930799007,0.0,10,1,2696
851,1486,1645397,156.432288,13.75428808387369,142.49200001358986,0.18599990289658308,0.0,13,1,1703
827,1462,1645396,156.01056,12.648560456000268,142.20999972894788,1.1519998079165816,0.0,11,1,2537
847,1482,1645404,155.688224,12.81022431794554,131.08600000850856,11.791999684646726,0.0,10,2,2399
