frame_index,node,tid,marker,trace_ns,on_cpu_after_alignment
809,model_cruise_mlp,1646944,exit_ns,968497762908704,True
809,cruise_mlp_inference,1646955,enter_ns,968497746848544,True
809,cruise_mlp_inference,1646955,exit_ns,968497768937632,True
809,model_cruise_mlp,1646955,enter_ns,968497651393952,True
809,model_cruise_mlp,1646955,exit_ns,968497768946400,True
809,cruise_mlp_inference,1646949,enter_ns,968497750523840,True
809,cruise_mlp_inference,1646949,exit_ns,968497770073696,True
809,model_cruise_mlp,1646949,enter_ns,968497711963776,True
809,model_cruise_mlp,1646949,exit_ns,968497770080992,True
809,cruise_mlp_inference,1646954,enter_ns,968497754528352,True
809,cruise_mlp_inference,1646954,exit_ns,968497772109088,True
809,model_cruise_mlp,1646954,enter_ns,968497716895104,True
809,model_cruise_mlp,1646954,exit_ns,968497772117216,True
809,cruise_mlp_inference,1646944,enter_ns,968497763890528,True
809,cruise_mlp_inference,1646944,exit_ns,968497773199296,True
809,cruise_mlp_inference,1646955,enter_ns,968497769773696,True
809,cruise_mlp_inference,1646955,exit_ns,968497775263936,True
809,cruise_mlp_inference,1646955,enter_ns,968497775740576,True
809,cruise_mlp_inference,1646955,exit_ns,968497779232320,True
809,cruise_mlp_inference,1646944,enter_ns,968497774022880,True
809,cruise_mlp_inference,1646944,exit_ns,968497779495488,True
809,model_cruise_mlp,1646944,enter_ns,968497762950464,True
809,model_cruise_mlp,1646944,exit_ns,968497779502176,True
809,cruise_mlp_inference,1646955,enter_ns,968497779619200,True
809,cruise_mlp_inference,1646955,exit_ns,968497782079456,True
809,model_cruise_mlp,1646955,enter_ns,968497768986016,True
809,model_cruise_mlp,1646955,exit_ns,968497782087488,True
809,jointly_prediction_planning_inference,1646959,enter_ns,968497709342528,True
809,jointly_prediction_planning_inference,1646959,exit_ns,968497796331552,True
809,model_jointly_prediction_planning,1646959,enter_ns,968497649680352,True
809,model_jointly_prediction_planning,1646959,exit_ns,968497797737984,True
809,thread_pool_run,1645387,enter_ns,968497649540512,True
809,thread_pool_run,1645387,exit_ns,968497797790816,True
809,evaluator,1645387,enter_ns,968497646302016,True
809,evaluator,1645387,exit_ns,968497797796640,True
809,predictor,1645387,enter_ns,968497797798176,True
809,predictor,1645387,exit_ns,968497798958848,True
809,perception,1645387,enter_ns,968497640305984,True
809,perception,1645387,exit_ns,968497799320128,True
809,writer,1645387,enter_ns,968497799333152,True
809,writer,1645387,exit_ns,968497799838816,True
809,proc,1645387,enter_ns,968497639764864,True
809,proc,1645387,exit_ns,968497799931840,True
824,container,1645390,enter_ns,968499715316512,True
824,container,1645390,exit_ns,968499715842272,True
824,semantic_map_prepare,1645390,enter_ns,968499724116160,True
824,semantic_map_prepare,1645390,exit_ns,968499724845120,True
824,semantic_base_copy,1645390,enter_ns,968499724853568,True
824,semantic_base_copy,1645390,exit_ns,968499726348032,True
824,cyber_taskmanager_queue_enqueue,1645390,enter_ns,968499726359104,True
824,cyber_taskmanager_queue_enqueue,1645390,exit_ns,968499726366976,True
824,semantic_base_async_lock_wait,1645395,enter_ns,968499726416512,True
824,semantic_base_async_lock_wait,1645395,exit_ns,968499726417568,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499726369408,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731034624,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731038400,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731056736,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731057760,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731074688,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731075680,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731109088,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731110400,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731120480,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731121408,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731133056,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731133952,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731165728,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731166496,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731176544,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731177440,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731188544,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731189504,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731200480,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731201376,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731211328,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731212256,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731223776,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731224672,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731235008,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731235968,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731245312,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731246144,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731256032,True
824,cyber_taskmanager_notify_task,1645390,enter_ns,968499731256896,True
824,cyber_taskmanager_notify_task,1645390,exit_ns,968499731262560,True
824,cyber_taskmanager_notify_tasks,1645390,enter_ns,968499726368128,True
824,cyber_taskmanager_notify_tasks,1645390,exit_ns,968499731263584,True
824,semantic_base_async_submit,1645390,enter_ns,968499726353120,True
824,semantic_base_async_submit,1645390,exit_ns,968499731265152,True
824,semantic_base_async_future_replace,1645390,enter_ns,968499731266176,True
824,semantic_base_async_future_replace,1645390,exit_ns,968499731267456,True
824,semantic_base_async_schedule,1645390,enter_ns,968499726351968,True
824,semantic_base_async_schedule,1645390,exit_ns,968499731268224,True
824,semantic_base_image,1645390,enter_ns,968499724852000,True
824,semantic_base_image,1645390,exit_ns,968499731269184,True
824,semantic_adc_draw,1645390,enter_ns,968499731270208,True
824,semantic_adc_draw,1645390,exit_ns,968499731271360,True
824,semantic_obstacle_history_draw,1645390,enter_ns,968499731272160,True
824,semantic_obstacle_history_draw,1645390,exit_ns,968499731752608,True
824,semantic_draw_roads,1645395,enter_ns,968499730376352,True
824,semantic_draw_roads,1645395,exit_ns,968499731937152,True
824,semantic_history_cache_copy,1645390,enter_ns,968499731755136,True
824,semantic_history_cache_copy,1645390,exit_ns,968499731948896,True
824,semantic_map_run,1645390,enter_ns,968499724849056,True
824,semantic_map_run,1645390,exit_ns,968499731950912,True
824,semantic_draw_junctions,1645395,enter_ns,968499731940800,True
824,semantic_draw_junctions,1645395,exit_ns,968499731979360,True
824,semantic_draw_crosswalks,1645395,enter_ns,968499731981440,True
824,semantic_draw_crosswalks,1645395,exit_ns,968499731984512,True
824,semantic_draw_lanes,1645395,enter_ns,968499731985376,True
824,semantic_draw_lanes,1645395,exit_ns,968499739502496,True
824,semantic_base_async_draw,1645395,enter_ns,968499726414560,True
824,semantic_base_async_draw,1645395,exit_ns,968499739507264,True
824,cruise_mlp_inference,1646957,enter_ns,968499733055680,True
824,cruise_mlp_inference,1646957,exit_ns,968499745559040,True
824,cruise_mlp_inference,1646961,enter_ns,968499733044352,True
824,cruise_mlp_inference,1646961,exit_ns,968499757688256,True
824,cruise_mlp_inference,1646946,enter_ns,968499733085600,True
824,cruise_mlp_inference,1646946,exit_ns,968499760113824,True
824,cruise_mlp_inference,1646956,enter_ns,968499733182240,True
824,cruise_mlp_inference,1646956,exit_ns,968499770038368,True
824,cruise_mlp_inference,1646961,enter_ns,968499762499168,True
824,cruise_mlp_inference,1646961,exit_ns,968499782743456,True
824,model_cruise_mlp,1646961,enter_ns,968499732122912,True
824,model_cruise_mlp,1646961,exit_ns,968499782752736,True
824,cruise_mlp_inference,1646957,enter_ns,968499747794272,True
824,cruise_mlp_inference,1646957,exit_ns,968499797585184,True
824,model_cruise_mlp,1646957,enter_ns,968499732084096,True
824,model_cruise_mlp,1646957,exit_ns,968499797597056,True
824,cruise_mlp_inference,1646946,enter_ns,968499767386176,True
824,cruise_mlp_inference,1646946,exit_ns,968499802416864,True
824,cruise_mlp_inference,1646956,enter_ns,968499772317216,True
824,cruise_mlp_inference,1646956,exit_ns,968499810757216,True
824,cruise_mlp_inference,1646961,enter_ns,968499789964576,True
824,cruise_mlp_inference,1646961,exit_ns,968499822256896,True
824,cruise_mlp_inference,1646957,enter_ns,968499802336640,True
824,cruise_mlp_inference,1646957,exit_ns,968499836943552,True
824,cruise_mlp_inference,1646946,enter_ns,968499808157760,True
824,cruise_mlp_inference,1646946,exit_ns,968499841204672,True
824,model_cruise_mlp,1646946,enter_ns,968499732147232,True
824,model_cruise_mlp,1646946,exit_ns,968499841214208,True
824,cruise_mlp_inference,1646956,enter_ns,968499813316608,True
824,cruise_mlp_inference,1646956,exit_ns,968499843319520,True
824,model_cruise_mlp,1646956,enter_ns,968499732124512,True
824,model_cruise_mlp,1646956,exit_ns,968499843329920,True
824,cruise_mlp_inference,1646961,enter_ns,968499824537760,True
824,cruise_mlp_inference,1646961,exit_ns,968499851798368,True
824,model_cruise_mlp,1646961,enter_ns,968499782803552,True
824,model_cruise_mlp,1646961,exit_ns,968499851809280,True
824,cruise_mlp_inference,1646946,enter_ns,968499842215552,True
824,cruise_mlp_inference,1646946,exit_ns,968499855046432,True
824,cruise_mlp_inference,1646957,enter_ns,968499839117120,True
824,cruise_mlp_inference,1646957,exit_ns,968499856383808,True
824,model_cruise_mlp,1646957,enter_ns,968499797647200,True
824,model_cruise_mlp,1646957,exit_ns,968499856391360,True
824,cruise_mlp_inference,1646946,enter_ns,968499855533504,True
824,cruise_mlp_inference,1646946,exit_ns,968499858962656,True
824,cruise_mlp_inference,1646946,enter_ns,968499859380576,True
824,cruise_mlp_inference,1646946,exit_ns,968499862226880,True
824,model_cruise_mlp,1646946,enter_ns,968499841264608,True
824,model_cruise_mlp,1646946,exit_ns,968499862238432,True
824,jointly_prediction_planning_inference,1646951,enter_ns,968499780170304,True
824,jointly_prediction_planning_inference,1646951,exit_ns,968499870855104,True
824,model_jointly_prediction_planning,1646951,enter_ns,968499732086368,True
824,model_jointly_prediction_planning,1646951,exit_ns,968499871765472,True
824,thread_pool_run,1645390,enter_ns,968499731952448,True
824,thread_pool_run,1645390,exit_ns,968499871812448,True
824,evaluator,1645390,enter_ns,968499724110784,True
824,evaluator,1645390,exit_ns,968499871817216,True
824,predictor,1645390,enter_ns,968499871818752,True
824,predictor,1645390,exit_ns,968499873133760,True
824,perception,1645390,enter_ns,968499715888992,True
824,perception,1645390,exit_ns,968499873285024,True
824,writer,1645390,enter_ns,968499873299520,True
824,writer,1645390,exit_ns,968499873911840,True
824,proc,1645390,enter_ns,968499715313056,True
824,proc,1645390,exit_ns,968499873996800,True
827,container,1645396,enter_ns,968500144988160,True
827,container,1645396,exit_ns,968500146169216,True
827,semantic_map_prepare,1645396,enter_ns,968500153338624,True
827,semantic_map_prepare,1645396,exit_ns,968500154205024,True
827,semantic_base_copy,1645396,enter_ns,968500154214880,True
827,semantic_base_copy,1645396,exit_ns,968500155815136,True
827,cyber_taskmanager_queue_enqueue,1645396,enter_ns,968500155829824,True
827,cyber_taskmanager_queue_enqueue,1645396,exit_ns,968500155839008,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500155841568,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500155865984,True
827,semantic_base_async_lock_wait,1645388,enter_ns,968500155901408,True
827,semantic_base_async_lock_wait,1645388,exit_ns,968500155902944,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500155867616,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500155994816,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500155997216,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156016320,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156017856,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156081440,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156082976,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156095264,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156096640,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156110464,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156111872,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156165472,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156167104,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156179648,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156180832,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156219168,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156220352,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156232192,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156233440,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156267968,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156269600,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156308544,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156309632,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156321632,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156322752,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156353024,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156354176,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156365344,True
827,cyber_taskmanager_notify_task,1645396,enter_ns,968500156366432,True
827,cyber_taskmanager_notify_task,1645396,exit_ns,968500156497056,True
827,cyber_taskmanager_notify_tasks,1645396,enter_ns,968500155840288,True
827,cyber_taskmanager_notify_tasks,1645396,exit_ns,968500156499808,True
827,semantic_base_async_submit,1645396,enter_ns,968500155822432,True
827,semantic_base_async_submit,1645396,exit_ns,968500156501536,True
827,semantic_base_async_future_replace,1645396,enter_ns,968500156503360,True
827,semantic_base_async_future_replace,1645396,exit_ns,968500156505056,True
827,semantic_base_async_schedule,1645396,enter_ns,968500155821120,True
827,semantic_base_async_schedule,1645396,exit_ns,968500156506432,True
827,semantic_base_image,1645396,enter_ns,968500154213344,True
827,semantic_base_image,1645396,exit_ns,968500156508128,True
827,semantic_adc_draw,1645396,enter_ns,968500156509376,True
827,semantic_adc_draw,1645396,exit_ns,968500156510560,True
827,semantic_obstacle_history_draw,1645396,enter_ns,968500156511360,True
827,semantic_obstacle_history_draw,1645396,exit_ns,968500157103648,True
827,semantic_history_cache_copy,1645396,enter_ns,968500157106432,True
827,semantic_history_cache_copy,1645396,exit_ns,968500157331744,True
827,semantic_map_run,1645396,enter_ns,968500154210624,True
827,semantic_map_run,1645396,exit_ns,968500157334368,True
827,semantic_draw_roads,1645388,enter_ns,968500156445312,True
827,semantic_draw_roads,1645388,exit_ns,968500158007968,True
827,semantic_draw_junctions,1645388,enter_ns,968500158011584,True
827,semantic_draw_junctions,1645388,exit_ns,968500158057344,True
827,semantic_draw_crosswalks,1645388,enter_ns,968500158058496,True
827,semantic_draw_crosswalks,1645388,exit_ns,968500158062304,True
827,semantic_draw_lanes,1645388,enter_ns,968500158063136,True
827,semantic_draw_lanes,1645388,exit_ns,968500166738016,True
827,semantic_base_async_draw,1645388,enter_ns,968500155898976,True
827,semantic_base_async_draw,1645388,exit_ns,968500166744896,True
827,cruise_mlp_inference,1646952,enter_ns,968500158817888,True
827,cruise_mlp_inference,1646952,exit_ns,968500169200640,True
827,cruise_mlp_inference,1646955,enter_ns,968500159479776,True
827,cruise_mlp_inference,1646955,exit_ns,968500170636608,True
827,cruise_mlp_inference,1646945,enter_ns,968500158773728,True
827,cruise_mlp_inference,1646945,exit_ns,968500179277504,True
827,cruise_mlp_inference,1646958,enter_ns,968500160843072,True
827,cruise_mlp_inference,1646958,exit_ns,968500180012192,True
827,cruise_mlp_inference,1646952,enter_ns,968500170160704,True
827,cruise_mlp_inference,1646952,exit_ns,968500181876928,True
827,cruise_mlp_inference,1646955,enter_ns,968500171193664,True
827,cruise_mlp_inference,1646955,exit_ns,968500189422464,True
827,model_cruise_mlp,1646955,enter_ns,968500158588448,True
827,model_cruise_mlp,1646955,exit_ns,968500189465056,True
827,cruise_mlp_inference,1646945,enter_ns,968500180266432,True
827,cruise_mlp_inference,1646945,exit_ns,968500204970528,True
827,model_cruise_mlp,1646945,enter_ns,968500157766272,True
827,model_cruise_mlp,1646945,exit_ns,968500204983232,True
827,cruise_mlp_inference,1646952,enter_ns,968500183019936,True
827,cruise_mlp_inference,1646952,exit_ns,968500219777440,True
827,model_cruise_mlp,1646952,enter_ns,968500157801632,True
827,model_cruise_mlp,1646952,exit_ns,968500219785696,True
827,cruise_mlp_inference,1646958,enter_ns,968500181363552,True
827,cruise_mlp_inference,1646958,exit_ns,968500224542720,True
