frame_index,worker_model_count,worker_tid,model_ordinal,obstacle_id,model_duration_ms,inference_count,inference_sum_ms,running_ms,blocked_ms,runnable_ms,unknown_ms,max_runnable_ms,cpu_list,running_segment_count,stack_sample_count,stack_categories
900,1,1646946,1,27,92.12496,3,81.03136,13.728960417211056,72.91499921120703,5.481000407598913,0,1.711999997496605,0;1;3;4;5;6;7,121,1,libtorch CPU路径:1
900,2,1646960,1,29,55.300288,2,50.520703999999995,9.072288405150175,44.74399914033711,1.4840004732832313,0,0.1889999257400632,0;1;3;4;5;6;7,65,2,PI互斥锁慢路径:1;libtorch CPU路径:1
900,2,1646960,2,77,42.93728,3,36.975232,10.202280362136662,30.741999624297023,1.993000041693449,0,0.2210000529885292,0;4;5;6;7,84,0,
900,2,1646951,1,28,56.79648,2,50.394527999999994,8.730480563826859,46.57699982635677,1.4889995800331235,0,0.2940000267699361,0;1;3;4;5;6;7,76,1,libtorch CPU路径:1
900,2,1646951,2,72,41.493728,3,38.310144,10.254728491418064,29.478999553248286,1.7600000137463212,0,0.1990000018849969,4;5;6;7,89,0,
900,3,1646950,1,26,79.244224,3,72.64627200000001,12.935223523527384,64.17100038379431,2.1380000980570912,0,0.632000039331615,5;6,72,1,其他路径:1
900,3,1646950,2,74,18.153856,2,13.287392,7.3188565438613296,8.259000373072922,2.5759991258382797,0,1.118999905884266,4;5;6;7,62,1,其他路径:1
900,3,1646950,3,78,7.687296,3,5.841248,6.986296037212014,0.6679999642074108,0.03300001844763756,0,0.011999974958598614,7,4,1,libtorch CUDA路径:1
901,1,1646942,1,28,14.030912,2,12.307552000000001,7.029912318103015,3.9610002422705293,3.039999515749514,0,0.49599993508309126,1;3;4;5;7;9;11,93,0,
901,2,1646958,1,27,21.121856,3,18.572384,11.263856315054,5.795999895781279,4.061999847181141,0,0.34900009632110596,0;1;3;4;5;7;9;11,148,2,PI互斥锁释放:1;libtorch CPU路径:1
901,2,1646958,2,79,54.042624,3,50.322784,12.528624502010643,37.87399991415441,3.6399996606633067,0,0.43299992103129625,0;1;3,135,1,cuDNN路径:1
901,2,1646943,1,29,13.069824,2,11.165952,7.240824052132666,4.121000529266894,1.7079995013773441,0,0.13499998021870852,4;5;7;8,98,0,
901,2,1646943,2,77,32.4432,3,29.095808,11.777200154028833,13.337000855244696,7.328998995944858,0,1.955999992787838,0;1;3;4;5;7,124,1,其他路径:1
901,3,1646949,1,26,18.988128,3,15.623359999999998,11.82512822560966,5.529000540263951,1.6339991707354784,0,0.09400001727044582,0;1;4;5;7,131,2,PI互斥锁释放:1;其他路径:1
901,3,1646949,2,74,28.944,2,27.252992,8.691999944858253,14.612000086344779,5.639999988488853,0,2.975999959744513,0;1;3;7,91,0,
901,3,1646949,3,78,44.615168,3,30.533952000000003,11.011167895048857,33.0900001572445,0.5139999557286501,0,0.04499999340623617,1;3,40,1,libtorch CPU路径:1
