frame_index,worker_model_count,worker_tid,cpu,running_ms
900,1,1646946,0,0.5929999751970172
900,1,1646946,1,1.0010001715272665
900,1,1646946,3,0.20300003234297037
900,1,1646946,4,3.405999857932329
900,1,1646946,5,3.459728555753827
900,1,1646946,6,3.0812317272648215
900,1,1646946,7,1.9850000971928239
900,2,1646960,0,3.7502323975786567
900,2,1646960,1,1.2069999938830733
900,2,1646960,3,0.49000000581145287
900,2,1646960,4,3.085264121182263
900,2,1646960,5,2.1650721319019794
900,2,1646960,6,4.686999600380659
900,2,1646960,7,3.890000516548753
900,2,1646951,0,0.8470001630485058
900,2,1646951,1,1.493831747211516
900,2,1646951,3,2.1400002297014
900,2,1646951,4,1.785392058081925
900,2,1646951,5,0.9960001334547997
900,2,1646951,6,8.809984545223415
900,2,1646951,7,2.9130001785233617
900,3,1646950,4,1.4810001011937857
900,3,1646950,5,13.681375654414296
900,3,1646950,6,1.545000122860074
900,3,1646950,7,10.533000226132572
901,1,1646942,1,0.2720000920817256
901,1,1646942,3,1.4379998901858926
901,1,1646942,4,1.6719999257475138
901,1,1646942,5,1.4141763094812632
901,1,1646942,7,1.2740001548081636
901,1,1646942,9,0.4997360520064831
901,1,1646942,11,0.4599998937919736
901,2,1646958,0,5.222320323809981
901,2,1646958,1,4.273999948054552
901,2,1646958,3,4.561816342175007
901,2,1646958,4,1.0610002791509032
901,2,1646958,5,5.504999775439501
901,2,1646958,7,2.594000194221735
901,2,1646958,9,0.04800001624971628
901,2,1646958,11,0.5263439379632473
901,2,1646943,0,2.0050000166520476
901,2,1646943,1,2.2430000826716423
901,2,1646943,3,4.0871682576835155
901,2,1646943,4,6.105999695137143
901,2,1646943,5,1.0932479053735733
901,2,1646943,7,2.9370002448558807
901,2,1646943,8,0.5466080037876964
901,3,1646949,0,1.8610002007335424
901,3,1646949,1,6.333967903628945
901,3,1646949,3,9.16807190515101
901,3,1646949,4,2.22400005441159
901,3,1646949,5,2.9620002023875713
901,3,1646949,7,8.979255799204111
903,1,1646943,0,0.2760001225396991
903,1,1646943,1,1.4530002372339368
903,1,1646943,3,2.7951524825766683
903,1,1646943,4,1.8029999919235706
903,1,1646943,5,0.6669998401775956
903,1,1646943,6,0.6790001643821597
903,1,1646943,7,0.9260000661015511
903,2,1646958,0,3.87699983548373
903,2,1646958,1,2.5909997057169676
903,2,1646958,3,11.094120214693248
