wall_time,measurement_time,header_time,sequence_num,frame_id,total_points,actor_id,actor_type,role_name,distance_xy,bbox_length,bbox_width,bbox_height,bbox_margin,points_in_bbox,nearest_point_to_bbox_center,hit
1780471390.341881,1780471390.2721944,1780471390.2721944,0,velodyne64,14899,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.658596007793328,False
1780471390.3430371,1780471390.2721944,1780471390.2721944,0,velodyne64,14899,210,vehicle.audi.etron,npc_vehicle_6,71.19657290972518,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,25.126687535100366,False
1780471390.8451474,1780471390.7753053,1780471390.7753053,0,velodyne64,14969,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.62263411493353,False
1780471390.8460817,1780471390.7753053,1780471390.7753053,0,velodyne64,14969,210,vehicle.audi.etron,npc_vehicle_6,71.01071254123991,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,26.90892699827431,False
1780471391.3479502,1780471391.2721415,1780471391.2721415,0,velodyne64,15178,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.656982457069237,False
1780471391.3489733,1780471391.2721415,1780471391.2721415,0,velodyne64,15178,210,vehicle.audi.etron,npc_vehicle_6,70.95857644199482,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,33.590172413031596,False
1780471391.8507607,1780471391.7724762,1780471391.7724762,0,velodyne64,15471,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.656566416917388,False
1780471391.851815,1780471391.7724762,1780471391.7724762,0,velodyne64,15471,210,vehicle.audi.etron,npc_vehicle_6,71.15330559158275,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,38.432086524585856,False
1780471392.3554823,1780471392.2750218,1780471392.2750218,0,velodyne64,15829,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.656241505256622,False
1780471392.3566062,1780471392.2750218,1780471392.2750218,0,velodyne64,15829,210,vehicle.audi.etron,npc_vehicle_6,70.76047737935897,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,36.09716833179288,False
1780471392.8591843,1780471392.7777944,1780471392.7777944,0,velodyne64,16176,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.656100720512167,False
1780471392.8603094,1780471392.7777944,1780471392.7777944,0,velodyne64,16176,210,vehicle.audi.etron,npc_vehicle_6,69.51328167934464,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,39.45575678030106,False
1780471393.3631208,1780471393.2743692,1780471393.2743692,0,velodyne64,16496,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.656126042322119,False
1780471393.3642886,1780471393.2743692,1780471393.2743692,0,velodyne64,16496,210,vehicle.audi.etron,npc_vehicle_6,67.36091592147558,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,40.3405933350052,False
1780471393.8659816,1780471393.772481,1780471393.772481,0,velodyne64,16559,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.140118679872683,False
1780471393.8667498,1780471393.772481,1780471393.772481,0,velodyne64,16559,210,vehicle.audi.etron,npc_vehicle_6,64.67025228251964,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,39.07995592167644,False
1780471394.3685794,1780471394.2740593,1780471394.2740593,0,velodyne64,16858,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,2.9759858499179237,False
1780471394.3693218,1780471394.2740593,1780471394.2740593,0,velodyne64,16858,210,vehicle.audi.etron,npc_vehicle_6,62.08379693876098,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,36.12601900163738,False
1780471394.872616,1780471394.772855,1780471394.772855,0,velodyne64,17103,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,2.866884309027397,False
1780471394.8744748,1780471394.772855,1780471394.772855,0,velodyne64,17103,210,vehicle.audi.etron,npc_vehicle_6,59.947533333336615,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,33.91178979010829,False
1780471395.3773212,1780471395.272619,1780471395.272619,0,velodyne64,17050,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,3.8690994521919446,False
1780471395.37831,1780471395.272619,1780471395.272619,0,velodyne64,17050,210,vehicle.audi.etron,npc_vehicle_6,57.99586777889169,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,31.01499804933154,False
1780471395.882488,1780471395.7761476,1780471395.7761476,0,velodyne64,16940,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.658887335133525,False
1780471395.884402,1780471395.7761476,1780471395.7761476,0,velodyne64,16940,210,vehicle.audi.etron,npc_vehicle_6,56.71090179708073,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,25.97659237936239,False
1780471396.3894956,1780471396.2720053,1780471396.2720053,0,velodyne64,17087,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.6604514393947385,False
1780471396.3908224,1780471396.2720053,1780471396.2720053,0,velodyne64,17087,210,vehicle.audi.etron,npc_vehicle_6,55.77027737543042,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,23.918294623507794,False
1780471396.8951814,1780471396.7732763,1780471396.7732763,0,velodyne64,16981,197,vehicle.lincoln.mkz_2017,ego_vehicle,0.0,4.901683330535889,2.128324270248413,1.5107464790344238,0.15,0,4.663141603909486,False
1780471396.8976738,1780471396.7732763,1780471396.7732763,0,velodyne64,16981,210,vehicle.audi.etron,npc_vehicle_6,55.12024448670039,4.855708599090576,2.0327565670013428,1.6493593454360962,0.15,0,22.669299423928653,False
